round,test_accuracy,test_loss,train_loss,avg_lambda_before,avg_lambda_after,budget_used,participation_rate,method
1,0.5536,1.37858157787323,1.488673020855509,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
2,0.7175,0.8077321738243103,0.8184911707959377,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
3,0.7243,0.9791328011989594,0.30928307500828617,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
4,0.713,1.1103936153888703,0.34607866626398837,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
5,0.7607,0.9645607925891876,0.2175573438194782,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
6,0.7595,0.9671054294586182,0.12054913740874863,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
7,0.752,1.1609858393192292,0.12524850660546397,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
8,0.7611,1.185920002746582,0.14182078539785578,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
9,0.7639,1.301649897289276,0.07966904864548238,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
10,0.7753,1.2494353699445724,0.08377483909557286,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
11,0.7735,1.3604963455080985,0.04432018307401706,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
12,0.7731,1.3007260778903962,0.05450646247306318,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
13,0.7754,1.3802671523034573,0.039830955552152256,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
14,0.7779,1.4434531957626342,0.028900403632647263,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
15,0.7773,1.4655647376179695,0.033387087483077435,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
16,0.7805,1.5463821859031917,0.01195490656565046,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
17,0.7793,1.396773694574833,0.049115925415958495,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
18,0.781,1.5065950825810432,0.008266610847336367,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
19,0.7805,1.3552346992969513,0.04026389239117069,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
20,0.7751,1.40597421541214,0.030870464561306075,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
21,0.7757,1.4887651118814946,0.006185545788979438,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
22,0.7629,1.5293936225175857,0.035835190592348375,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
23,0.7698,1.4420381633937358,0.018946393411901744,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
24,0.7646,1.4771467407941818,0.03398714571990912,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
25,0.7741,1.487789708018303,0.03427863176287029,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
26,0.7632,1.6015107491016387,0.028415169157299733,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
27,0.771,1.6708650317907334,0.0029550174187190415,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
28,0.7747,1.608682844400406,0.036620498211818536,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
29,0.7696,1.5193859731674195,0.02020398674580511,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
30,0.7737,1.6224367734909058,0.0071221914479737145,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
31,0.7759,1.6708909332752229,0.007555655215873883,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
32,0.7701,1.5681930398464203,0.031365066965699795,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
33,0.7759,1.6185986827373504,0.014220655880034284,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
34,0.7756,1.7249003091216086,0.0036262929521627017,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
35,0.7745,1.694995339870453,0.006638789436494789,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
36,0.7698,1.6435686265468596,0.030004275280825603,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
37,0.7737,1.6953146417856217,0.001734489622658455,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
38,0.7752,1.7040755596280097,0.005476932037250477,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
39,0.7746,1.7033023615837097,0.003974314673371729,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
40,0.7751,1.773324913954735,0.00109707629698369,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
41,0.7737,1.8148107607841493,0.0015374521342897572,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
42,0.7747,1.847140318965912,0.0018027025481756405,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
43,0.7758,1.7954702431201934,0.004993933391213745,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
44,0.776,1.843338559103012,0.0005495771193690421,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
45,0.7777,1.8700605599880218,0.0006597876094926236,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
46,0.7739,1.859316430425644,0.002510779540475931,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
47,0.7748,1.8859030680656432,0.0015691109804451908,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
48,0.7749,1.8950689401626586,0.001090171249272844,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
49,0.7741,1.9048191840648652,0.0012869141899868142,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
50,0.7744,1.9213188504219054,0.0007183237821165394,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
51,0.7752,1.93676105427742,0.0002721764234377976,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
52,0.7771,1.9523338690280914,0.0007820479160286679,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
53,0.7753,1.9548431941509248,0.0011970844837939372,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
54,0.7749,1.9571258271217347,0.000488992882026349,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
55,0.7746,1.9621217330217362,0.0009594136983215718,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
56,0.7762,1.966531473827362,0.00043003126742821005,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
57,0.7764,1.9701526949644088,0.0009620927113777996,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
58,0.7769,1.9767744969367982,0.0005944351352675166,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
59,0.7778,1.993176212620735,0.000505629781824922,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
60,0.778,2.0019548564910887,0.003079590204803862,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
61,0.7774,2.00869522857666,0.0002659333288413109,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
62,0.777,2.017683191013336,0.00022021663135895334,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
63,0.7773,2.028370320439339,0.00016678390729178778,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
64,0.7773,2.030999263572693,0.0017969760801386165,0.7086254849099093,0.461075786724823,15.705205429784645,1.0,fixed_price
