round,test_accuracy,test_loss,train_loss,avg_lambda_before,avg_lambda_after,budget_used,participation_rate,method
1,0.5191,1.4392987146377563,1.5593681275136342,0.7086254849099093,0.3694566961518162,15.705205429784645,1.0,proposed_active_set
2,0.7162,0.8222395373344421,0.8750025816823677,0.7086254849099093,0.3694566961518162,15.705205429784645,1.0,proposed_active_set
3,0.7365,0.9036075632095337,0.3877297359634859,0.7086254849099093,0.3694566961518162,15.705205429784645,1.0,proposed_active_set
4,0.7372,1.0253695569515229,0.3248964644804742,0.7086254849099093,0.3694566961518162,15.705205429784645,1.0,proposed_active_set
5,0.7651,0.9863220710277557,0.20872345656892177,0.7086254849099093,0.3694566961518162,15.705205429784645,1.0,proposed_active_set
6,0.7716,1.0368527781486512,0.12013743175196447,0.7086254849099093,0.3694566961518162,15.705205429784645,1.0,proposed_active_set
7,0.7583,1.1462855928897857,0.11810100417995671,0.7086254849099093,0.3694566961518162,15.705205429784645,1.0,proposed_active_set
8,0.7711,1.161903191947937,0.12432979740024101,0.7086254849099093,0.3694566961518162,15.705205429784645,1.0,proposed_active_set
9,0.7702,1.2075567856311797,0.08632405860222132,0.7086254849099093,0.3694566961518162,15.705205429784645,1.0,proposed_active_set
10,0.7761,1.2221368598937987,0.07691511939024945,0.7086254849099093,0.3694566961518162,15.705205429784645,1.0,proposed_active_set
11,0.776,1.3291186847925187,0.0471435276886659,0.7086254849099093,0.3694566961518162,15.705205429784645,1.0,proposed_active_set
12,0.775,1.3244899167060853,0.04938585176473474,0.7086254849099093,0.3694566961518162,15.705205429784645,1.0,proposed_active_set
13,0.7762,1.2965712413311004,0.04815058694972866,0.7086254849099093,0.3694566961518162,15.705205429784645,1.0,proposed_active_set
14,0.78,1.4027247923970223,0.02687378213089757,0.7086254849099093,0.3694566961518162,15.705205429784645,1.0,proposed_active_set
15,0.7749,1.440011638879776,0.030365045010773355,0.7086254849099093,0.3694566961518162,15.705205429784645,1.0,proposed_active_set
16,0.7821,1.4871717743158341,0.010911360975265755,0.7086254849099093,0.3694566961518162,15.705205429784645,1.0,proposed_active_set
17,0.7818,1.3827365207910538,0.039355315885360814,0.7086254849099093,0.3694566961518162,15.705205429784645,1.0,proposed_active_set
