round,test_accuracy,test_loss,train_loss,avg_lambda_before,avg_lambda_after,budget_used,participation_rate,method
1,0.0634,4.374144869232178,4.386351991249953,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
2,0.1127,3.8634730766296386,3.814106245852577,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
3,0.169,3.5690575428009033,3.4455670472800413,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
4,0.1995,3.418564723968506,2.8836304905357464,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
5,0.2276,3.2844030101776123,2.5814915515085284,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
6,0.2488,3.2535306228637695,2.2369800604693335,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
7,0.261,3.5232183364868166,1.6323937629412348,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
8,0.2642,3.5318393844604494,1.4363521359236775,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
9,0.2715,3.678694440460205,1.1947927422643296,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
10,0.2717,3.7469899536132814,1.1070520870504514,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
11,0.2843,3.9053048683166502,0.9088249722054534,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
12,0.2934,3.861095790863037,0.9515320180800287,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
13,0.2989,3.9129253116607665,0.8572870946183062,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
14,0.3019,3.9422950874328615,0.7410042636142746,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
15,0.3004,4.047411214447021,0.6930087142799347,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
16,0.3037,4.079300567626953,0.6455543301345676,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
17,0.3091,3.954258509063721,0.7105999004610559,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
18,0.3155,4.046035973358154,0.5495867259911352,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
19,0.3204,3.898562747955322,0.6330166548439484,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
20,0.3159,4.052244083404541,0.5281727702058573,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
21,0.3151,4.035658520507813,0.5066577220634243,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
22,0.3133,4.034593087768554,0.5184078141843915,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
23,0.3199,4.106924244689941,0.4988218795793426,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
24,0.3208,3.9873586364746094,0.5051878215849289,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
25,0.3261,4.029263020706177,0.48594918478952936,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
26,0.3237,3.9132888603210447,0.4964677458718227,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
27,0.3248,4.067457319641114,0.385915884848018,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
28,0.3207,4.088214895629883,0.38996144117983955,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
29,0.3117,4.2080105018615725,0.3487381911491268,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
30,0.3178,4.185008868408203,0.41915064475486535,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
31,0.3204,4.319706320953369,0.3540502529603154,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
32,0.3221,4.247948767089844,0.38129853205355524,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
33,0.3257,4.15794677658081,0.3807479285763629,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
34,0.3264,4.170642189788818,0.36616591147367933,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
35,0.3269,4.153345098114014,0.3675275696461304,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
36,0.3266,4.1579950805664065,0.3282779930869164,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
37,0.3297,4.2174761138916015,0.30999975378142797,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
38,0.3263,4.291919756698609,0.2941831640011466,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
39,0.3244,4.3543109115600585,0.28792583953529083,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
40,0.3266,4.705221203613282,0.21357212841079742,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
41,0.3243,4.371378563308716,0.3240308316602152,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
42,0.3264,4.438852149963379,0.26460079291492655,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
43,0.3202,4.690077677917481,0.17227215538653648,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
44,0.3271,4.75858578414917,0.20133870576183538,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
45,0.3236,4.3225954711914065,0.31850155045278405,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
46,0.3271,4.567203572082519,0.2416659076864261,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
47,0.3266,4.574980909729004,0.2409015094845619,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
48,0.3229,4.3089541282653805,0.32019445517226364,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
49,0.3239,4.364036512374878,0.2516246909555006,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
50,0.3272,4.56247299156189,0.2118364552347029,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
51,0.3282,4.538020007324219,0.23824264699536224,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
52,0.3265,4.718241876983643,0.19911794527641877,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
53,0.325,4.654740976715088,0.22129147623769474,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
54,0.3187,4.771144648742676,0.19881896652881104,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
55,0.3293,4.990530017471314,0.15751185766144593,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
56,0.3216,4.823999443435669,0.23256100286670897,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
57,0.3217,4.768538705825805,0.2284683908093328,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
58,0.3236,4.727589791870117,0.20559940155079273,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
59,0.3231,4.686399377441406,0.23029724700645823,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
60,0.3244,4.825102759170532,0.2169709513463974,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
61,0.3155,4.982823219299316,0.2297080119479426,0.3626732051046036,0.23098895477001338,9.307857902153623,1.0,data_size_proportional
