round,test_accuracy,test_loss,train_loss,avg_lambda_before,avg_lambda_after,budget_used,participation_rate,method
1,0.053,4.42420703125,4.410700231342608,0.5670133048414585,0.29196604084115857,13.15255719564476,1.0,fixed_price
2,0.1265,3.777141796875,3.7573729666789495,0.5670133048414585,0.29196604084115857,13.15255719564476,1.0,fixed_price
3,0.1903,3.4386722473144533,3.391680550939653,0.5670133048414585,0.29196604084115857,13.15255719564476,1.0,fixed_price
4,0.2165,3.3012275360107424,2.9305722363929383,0.5670133048414585,0.29196604084115857,13.15255719564476,1.0,fixed_price
5,0.2556,3.123980975341797,2.7927422343359485,0.5670133048414585,0.29196604084115857,13.15255719564476,1.0,fixed_price
6,0.3017,2.9291812622070315,2.3864314118056233,0.5670133048414585,0.29196604084115857,13.15255719564476,1.0,fixed_price
7,0.3054,3.0561331481933594,1.7937173080395898,0.5670133048414585,0.29196604084115857,13.15255719564476,1.0,fixed_price
8,0.3047,3.235475408935547,1.6213644701580954,0.5670133048414585,0.29196604084115857,13.15255719564476,1.0,fixed_price
9,0.3182,3.330284262084961,1.319504336606906,0.5670133048414585,0.29196604084115857,13.15255719564476,1.0,fixed_price
10,0.3211,3.6375470794677733,1.1321249555923967,0.5670133048414585,0.29196604084115857,13.15255719564476,1.0,fixed_price
11,0.3327,3.6785026809692383,0.9630897262252733,0.5670133048414585,0.29196604084115857,13.15255719564476,1.0,fixed_price
12,0.3486,3.413062365722656,1.1270387367370058,0.5670133048414585,0.29196604084115857,13.15255719564476,1.0,fixed_price
13,0.3474,3.8369143432617188,0.7874033328298256,0.5670133048414585,0.29196604084115857,13.15255719564476,1.0,fixed_price
14,0.3445,3.6911576904296877,0.8075826700982421,0.5670133048414585,0.29196604084115857,13.15255719564476,1.0,fixed_price
15,0.3455,4.150889784240722,0.6410949696227949,0.5670133048414585,0.29196604084115857,13.15255719564476,1.0,fixed_price
16,0.3474,3.8791539428710937,0.6567138140094863,0.5670133048414585,0.29196604084115857,13.15255719564476,1.0,fixed_price
