round,test_accuracy,test_loss,train_loss,avg_lambda_before,avg_lambda_after,budget_used,participation_rate,method
1,0.0381,4.4913369140625,4.440512613255169,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
2,0.09,3.9847685546875,3.9116877372635632,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
3,0.1255,3.758217443847656,3.6450607743690218,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
4,0.1566,3.618076922607422,3.30365745643338,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
5,0.2149,3.323185592651367,3.191192211564833,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
6,0.2648,3.073482583618164,2.7410598887845223,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
7,0.2771,3.1164038818359376,2.1802979245284666,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
8,0.2882,3.1077339416503906,2.0824045072499486,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
9,0.3045,3.226185110473633,1.644455407574247,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
10,0.3123,3.285824545288086,1.5358101630463807,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
11,0.319,3.530829605102539,1.2063381980008143,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
12,0.3263,3.3688246063232423,1.3145851509823183,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
13,0.3243,3.7164673614501953,0.9999427011878061,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
14,0.3292,3.670940232849121,0.9271698628223538,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
15,0.3243,3.926912800216675,0.8758687478154993,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
16,0.3365,3.8655387168884277,0.8043712483162696,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
17,0.3379,3.7729056674957278,0.8182041210624488,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
18,0.3409,3.846626736450195,0.6807781297894157,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
19,0.3456,3.762937006378174,0.7054252647871069,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
20,0.3441,4.026662770080566,0.5948487939554143,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
21,0.3476,3.942347013092041,0.5856922635041413,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
22,0.3471,3.9326193168640136,0.55241081701353,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
23,0.3488,3.964177997589111,0.5323547158827544,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
24,0.3566,3.889148596572876,0.514086530142041,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
25,0.3539,4.093914712524414,0.4656680409734582,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
26,0.3551,3.8936747886657717,0.5320228692283752,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
27,0.3558,3.984989158630371,0.40361338754413395,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
28,0.3537,4.188452049255371,0.3728721263075406,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
29,0.3519,4.176292532730103,0.37756870400882114,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
30,0.3458,4.452403962707519,0.4512620520445437,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
31,0.3545,4.343757650756836,0.39801971979530665,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
32,0.3574,4.181103830718994,0.38985835545605835,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
33,0.3551,4.075463471603394,0.40394067799239286,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
34,0.3597,4.078279974365234,0.3758637057063804,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
35,0.3599,4.08911722946167,0.35899043327906854,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
36,0.363,4.318992066955566,0.2693752788224071,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
37,0.3584,4.146085112762451,0.3335441054441848,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
38,0.3603,4.429953021240235,0.23466149407550296,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
39,0.3615,4.39656625328064,0.2675200662553346,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
40,0.3602,4.758078633117676,0.17163986145859886,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
41,0.3531,4.176941897583008,0.3383314284456895,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
42,0.3639,4.642175103759766,0.18631256358803852,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
43,0.3595,4.594757164764404,0.19650191107366036,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
44,0.3641,4.838567143249512,0.15661939476690076,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
45,0.3582,4.267221454238892,0.2898326249475962,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
46,0.3624,4.560844732666015,0.21914342528086364,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
47,0.355,4.804787390136719,0.2506580154603468,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
48,0.3582,4.336761771774292,0.32419494609565935,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
49,0.3599,4.4051670135498044,0.23111491256312972,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
50,0.3604,4.437912731552124,0.22565151957856966,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
51,0.3624,4.445928302764893,0.2061634615882323,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
52,0.356,5.04502518081665,0.15567633897455135,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
53,0.3594,4.578463684844971,0.24949897228670645,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
54,0.3618,4.911964071655273,0.17582358805136145,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
55,0.3639,5.358709652709961,0.1058131913004216,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
56,0.3572,4.528706031799317,0.2826620991415279,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
57,0.3578,4.562633798980713,0.20483893790951,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
58,0.3594,4.700222172546387,0.171590481946035,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
59,0.3565,4.650893309020996,0.1872654170965451,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
60,0.3612,5.250320817565918,0.10645160698897549,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
61,0.3603,4.9144559028625485,0.18438354835618148,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
62,0.3583,5.217610569000244,0.10150726344905064,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
63,0.3611,5.137708248901367,0.12729348981944905,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
64,0.3562,4.8424747276306155,0.16932275783168935,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
65,0.3581,4.881849946594238,0.13914456742416895,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
66,0.3544,5.349625944519043,0.08894248544999471,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
67,0.3635,5.468996627044678,0.1037106827203984,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
68,0.3621,5.494663301849365,0.09658536372462104,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
69,0.358,5.063232592773438,0.15975869960540517,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
70,0.3643,5.636952349090576,0.065177903002459,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
71,0.3566,5.035483197021485,0.16047415587749103,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
72,0.3603,5.682766026306152,0.06434809041869065,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
73,0.3631,5.680461808013916,0.06625532013131084,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
74,0.3558,5.045377706909179,0.16876422153871015,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
75,0.3564,5.47474299621582,0.07845894691502939,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
76,0.3562,5.10957368850708,0.14927197085118754,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
77,0.362,5.625768124389649,0.06789241569537108,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
78,0.3546,5.227017897033692,0.1134446211972124,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
79,0.3564,5.238837705993652,0.11803217934704956,0.5670133048414585,0.2814620661303288,13.044516047519743,1.0,quality_gap_proportional
