round,test_accuracy,test_loss,train_loss,avg_lambda_before,avg_lambda_after,budget_used,participation_rate,method
1,0.0207,4.58803984375,4.5251181618330625,0.4175060086235805,0.26084142422112105,10.4832979794988,0.78,random_incentive
2,0.0548,4.28998798828125,4.35060238246705,0.4175060086235805,0.26084142422112105,10.4832979794988,0.78,random_incentive
3,0.0868,4.007972998046875,3.840002127208816,0.4175060086235805,0.26084142422112105,10.4832979794988,0.78,random_incentive
4,0.1226,3.805943029785156,3.714603859426053,0.4175060086235805,0.26084142422112105,10.4832979794988,0.78,random_incentive
5,0.1512,3.6640473693847655,3.495406018047924,0.4175060086235805,0.26084142422112105,10.4832979794988,0.78,random_incentive
6,0.1683,3.572031918334961,3.2340238774507797,0.4175060086235805,0.26084142422112105,10.4832979794988,0.78,random_incentive
7,0.1825,3.4798511962890624,3.104794363568644,0.4175060086235805,0.26084142422112105,10.4832979794988,0.78,random_incentive
8,0.1967,3.4033923675537108,2.9906178996502057,0.4175060086235805,0.26084142422112105,10.4832979794988,0.78,random_incentive
9,0.2147,3.3502089050292967,2.839128554510792,0.4175060086235805,0.26084142422112105,10.4832979794988,0.78,random_incentive
10,0.2227,3.3257968872070314,2.646557936554683,0.4175060086235805,0.26084142422112105,10.4832979794988,0.78,random_incentive
11,0.2231,3.353119839477539,2.4142156015449663,0.4175060086235805,0.26084142422112105,10.4832979794988,0.78,random_incentive
12,0.2329,3.318332290649414,2.3521112377887508,0.4175060086235805,0.26084142422112105,10.4832979794988,0.78,random_incentive
13,0.2464,3.305175955200195,2.258719444337264,0.4175060086235805,0.26084142422112105,10.4832979794988,0.78,random_incentive
14,0.2515,3.3633342681884764,2.070268555868549,0.4175060086235805,0.26084142422112105,10.4832979794988,0.78,random_incentive
15,0.2538,3.4304465881347657,1.9122220624164639,0.4175060086235805,0.26084142422112105,10.4832979794988,0.78,random_incentive
16,0.2594,3.5484491302490233,1.715411277248526,0.4175060086235805,0.26084142422112105,10.4832979794988,0.78,random_incentive
17,0.2679,3.435088668823242,1.800160158005439,0.4175060086235805,0.26084142422112105,10.4832979794988,0.78,random_incentive
18,0.2655,3.598089584350586,1.4485167003412793,0.4175060086235805,0.26084142422112105,10.4832979794988,0.78,random_incentive
19,0.273,3.644106381225586,1.444099202588843,0.4175060086235805,0.26084142422112105,10.4832979794988,0.78,random_incentive
20,0.2797,3.6683077911376953,1.4064119660917385,0.4175060086235805,0.26084142422112105,10.4832979794988,0.78,random_incentive
21,0.2768,3.757503479003906,1.2460547011522871,0.4175060086235805,0.26084142422112105,10.4832979794988,0.78,random_incentive
22,0.2807,3.7792882263183594,1.2392235016953626,0.4175060086235805,0.26084142422112105,10.4832979794988,0.78,random_incentive
23,0.2836,3.831167288208008,1.204316122516724,0.4175060086235805,0.26084142422112105,10.4832979794988,0.78,random_incentive
24,0.284,3.9740834197998045,1.0521260693162993,0.4175060086235805,0.26084142422112105,10.4832979794988,0.78,random_incentive
25,0.2852,3.939676525878906,1.0638300033389911,0.4175060086235805,0.26084142422112105,10.4832979794988,0.78,random_incentive
26,0.2869,4.041381039428711,1.0367008950954468,0.4175060086235805,0.26084142422112105,10.4832979794988,0.78,random_incentive
27,0.2886,4.1210980834960935,0.8746389695621791,0.4175060086235805,0.26084142422112105,10.4832979794988,0.78,random_incentive
