round,test_accuracy,test_loss,train_loss,avg_lambda_before,avg_lambda_after,budget_used,participation_rate,method
1,0.0141,4.6173705078125,4.497926715343923,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
2,0.0165,4.6056388671875,4.319192669547696,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
3,0.0275,4.546423828125,4.260231534630454,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
4,0.0535,4.3850798828125,4.115889032768734,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
5,0.0658,4.1435041015625,3.895124355569002,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
6,0.0869,4.027148999023438,3.6033210924232963,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
7,0.1007,3.9378846557617186,3.5513911712576753,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
8,0.1114,3.883624304199219,3.4407528594418375,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
9,0.1141,3.8331299743652343,3.3453772658236116,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
10,0.1323,3.755641259765625,3.2799620279137804,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
11,0.1453,3.699308920288086,3.197029243173766,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
12,0.153,3.6564918518066407,3.0994224275898694,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
13,0.1715,3.5713376953125,3.0554495549937286,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
14,0.1709,3.550243338012695,2.9036076058755165,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
15,0.1831,3.492675076293945,2.8115958075684095,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
16,0.1804,3.5317465270996093,2.674753276258946,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
17,0.1949,3.455816812133789,2.711123029923078,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
18,0.1984,3.4377257568359374,2.55542825488954,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
19,0.2105,3.3931029754638673,2.5548154710144484,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
20,0.2086,3.395615786743164,2.475470039124708,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
21,0.2083,3.4032513366699217,2.340361073258164,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
22,0.2181,3.3991407531738282,2.3301326942981135,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
23,0.2195,3.369968572998047,2.266173641452675,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
24,0.227,3.373317010498047,2.1613483914147316,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
25,0.2246,3.3693102142333986,2.147768756411274,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
26,0.2313,3.3492099029541014,2.0974325175263644,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
27,0.2366,3.400769512939453,1.9181050637281407,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
28,0.2349,3.405788214111328,1.9123090550972965,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
29,0.2362,3.4651723999023436,1.779371727092738,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
30,0.2432,3.4434759033203126,1.7661817943400333,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
31,0.2434,3.4413399780273437,1.7755772532266363,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
32,0.2424,3.3867227630615235,1.7108100822653367,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
33,0.246,3.442377932739258,1.6699329822790574,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
34,0.2505,3.511573614501953,1.632461021539841,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
35,0.2526,3.4499687896728517,1.5664110882763573,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
36,0.2584,3.486406524658203,1.5386049558770514,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
37,0.2534,3.5518325103759767,1.4085529171992497,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
38,0.2589,3.4769587951660155,1.4837949864797497,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
39,0.254,3.596436651611328,1.3997757129404471,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
40,0.2617,3.5362491638183595,1.3997824799956828,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
41,0.2586,3.5546621337890625,1.3590781253283273,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
42,0.2627,3.561339016723633,1.3060528754840097,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
43,0.2637,3.734473278808594,1.0960235335697557,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
44,0.262,3.584488034057617,1.302704878735484,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
45,0.2731,3.629058288574219,1.2535391597432295,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
46,0.2761,3.5334677368164065,1.237796584730544,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
47,0.2753,3.6922038665771484,1.0917932704538056,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
48,0.2706,3.5855155822753906,1.2610845859126008,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
49,0.275,3.807945980834961,1.0575216415624793,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
50,0.2728,3.6802891235351565,1.0677354197243583,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
51,0.2732,3.7228031982421874,1.0859530269131996,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
52,0.277,3.71815361328125,0.9665298313697983,0.3626732051046036,0.3626732051046036,0.031712321015617204,1.0,no_aigc
