baseline,client_id,lambda_k,q,p,x,mode,cost,utility
NoAIGC,0,0.485611510791367,0.0,0.07962511370589032,1.0,zero,0.0011386391259942312,0.0
NoAIGC,1,0.6477328936521023,0.0,0.07822228386793725,1.0,zero,0.0006684876379353916,0.0
NoAIGC,2,0.5051282051282052,0.0,0.08960687850060918,1.0,zero,0.0006917651020247027,0.0
NoAIGC,3,0.4715596330275229,0.0,0.07171049664407685,1.0,zero,0.0005782734449378357,-1.0842021724855044e-19
NoAIGC,4,0.2866537717601547,0.0,0.019299315494350846,1.0,zero,0.00028470350217266367,5.421010862427522e-20
NoAIGC,5,0.5545064377682404,0.0,0.11004624583096885,1.0,zero,0.0011422800317254568,0.0
NoAIGC,6,0.4619565217391304,0.0,0.07517159804695957,1.0,zero,0.0005953590565319198,0.0
NoAIGC,7,0.5084440969507427,0.0,0.08430897066640519,1.0,zero,0.0010601009971593792,0.0
NoAIGC,8,0.5373493975903614,0.0,0.0326910744917399,1.0,zero,0.00020085396167724996,0.0
NoAIGC,9,0.37472014925373137,0.0,0.04480463824699675,1.0,zero,0.001201301960678477,0.0
NoAIGC,10,0.3487935656836461,0.0,0.038132179998147844,1.0,zero,0.00018524613043100223,2.710505431213761e-20
NoAIGC,11,0.4258706467661691,0.0,0.08198605294924399,1.0,zero,0.0001892238102068552,0.0
NoAIGC,12,0.42586644125105666,0.0,0.062275761899612855,1.0,zero,0.000845953949644341,0.0
NoAIGC,13,0.3772317772317772,0.0,0.06890278431371297,1.0,zero,0.0010478735438429468,0.0
NoAIGC,14,0.43871733966745846,0.0,0.04941639910390291,1.0,zero,0.00023354190216504515,0.0
NoAIGC,15,0.4551339285714286,0.0,0.03503530477010734,1.0,zero,0.00034208471577532805,-5.421010862427522e-20
NoAIGC,16,0.47952755905511807,0.0,0.06183495791286596,1.0,zero,0.0005722207005256617,1.0842021724855044e-19
NoAIGC,17,0.5314005352363961,0.0,0.02678767516411807,1.0,zero,0.00028143131527422443,0.0
NoAIGC,18,0.3219739292364991,0.0,0.06357461569459122,1.0,zero,0.0009259007029760265,-1.0842021724855044e-19
NoAIGC,19,0.5155124653739612,0.0,0.07279150327800238,1.0,zero,0.0005092493569329046,0.0
NoAIGC,20,0.49064327485380116,0.0,0.0791655584636505,1.0,zero,0.0006895320142183957,1.0842021724855044e-19
NoAIGC,21,0.4222013170272813,0.0,0.04185028356379356,1.0,zero,0.00051408888329764,1.0842021724855044e-19
NoAIGC,22,0.4716981132075472,0.0,0.09242427898989983,1.0,zero,0.0002587879811717195,0.0
NoAIGC,23,0.4897959183673469,0.0,0.08962069591166029,1.0,zero,0.0006721552193374522,0.0
NoAIGC,24,0.3287958115183246,0.0,0.061285880792851334,1.0,zero,0.000785684991764354,1.0842021724855044e-19
NoAIGC,25,0.5980263157894737,0.0,0.04424555390736437,1.0,zero,0.00010813613374959851,0.0
NoAIGC,26,0.34293590627153686,0.0,0.04363172546288763,1.0,zero,0.0008319697411263413,0.0
NoAIGC,27,0.5613756613756614,0.0,0.02679320228409469,1.0,zero,0.00022211564693514496,0.0
NoAIGC,28,0.3886810102899906,0.0,0.026453586351657756,1.0,zero,0.0003457483736161669,-5.421010862427522e-20
NoAIGC,29,0.41416837782340865,0.0,0.06370765372997902,1.0,zero,0.0014540634887330412,0.0
NoAIGC,30,0.4355048859934853,0.0,0.07048862824320828,1.0,zero,0.0012215679274547994,2.168404344971009e-19
NoAIGC,31,0.4313195548489666,0.0,0.08563753108203724,1.0,zero,0.0006126508973608945,-1.0842021724855044e-19
NoAIGC,32,0.41128526645768027,0.0,0.03912423626114387,1.0,zero,0.00029390126279371274,0.0
NoAIGC,33,0.45931174089068827,0.0,0.04590147432141149,1.0,zero,0.0004904113516499604,0.0
NoAIGC,34,0.3125256673511293,0.0,0.04186662844579671,1.0,zero,0.0008410168322191643,1.0842021724855044e-19
NoAIGC,35,0.5305597579425113,0.0,0.03744641551462621,1.0,zero,0.00023239245468377028,2.710505431213761e-20
NoAIGC,36,0.4731277533039647,0.0,0.02884353903383012,1.0,zero,0.0002759749814756866,0.0
NoAIGC,37,0.4363636363636364,0.0,0.051501639925711426,1.0,zero,0.0008621374523564093,-1.0842021724855044e-19
NoAIGC,38,0.46419965576592076,0.0,0.035603511956127674,1.0,zero,0.0004433349308777019,0.0
NoAIGC,39,0.5308016877637132,0.0,0.07841579738840108,1.0,zero,0.0008719836669590198,0.0
NoAIGC,40,0.45711743772242,0.0,0.05062987589724679,1.0,zero,0.0006178870054499998,-1.0842021724855044e-19
NoAIGC,41,0.43437500000000007,0.0,0.07656508789801282,1.0,zero,0.00044346498910529026,-5.421010862427522e-20
NoAIGC,42,0.3819706498951782,0.0,0.06150291094370053,1.0,zero,0.0007252423258481166,0.0
NoAIGC,43,0.4128440366972478,0.0,0.03831122744415156,1.0,zero,0.00024519185564256994,0.0
NoAIGC,44,0.37494521548575604,0.0,0.06925855641510016,1.0,zero,0.0011852909344880244,0.0
NoAIGC,45,0.3992534218166736,0.0,0.0702302365624079,1.0,zero,0.0020344294927398315,0.0
NoAIGC,46,0.31217292377701933,0.0,0.037072014235363764,1.0,zero,0.0004482747961340186,0.0
NoAIGC,47,0.518954248366013,0.0,0.0447631521202866,1.0,zero,0.0003294567996053094,0.0
NoAIGC,48,0.500909090909091,0.0,0.0747355230872476,1.0,zero,0.0008205960434979784,0.0
NoAIGC,49,0.39397590361445783,0.0,0.0257252136298789,1.0,zero,0.0002587956491165817,0.0
RandomIncentive,0,0.485611510791367,0.14257250826799386,11.145526313872148,1.0,internal,0.20355649515086358,0.17320313215564578
RandomIncentive,1,0.6477328936521023,0.10815385257335777,7.395621146949517,1.0,internal,0.08260770126200065,0.06943347360998932
RandomIncentive,2,0.5051282051282052,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,3,0.4715596330275229,0.2636995235074702,41.07159287754321,1.0,internal,0.49647566249961295,0.3847526254385796
RandomIncentive,4,0.2866537717601547,0.2255748409009998,25.016420145348896,1.0,internal,0.4857410208642356,0.4015841048879475
RandomIncentive,5,0.5545064377682404,0.07204231111305982,14.244451349180842,1.0,internal,0.1717679394650651,0.14983864395674387
RandomIncentive,6,0.4619565217391304,0.18872247128583733,21.8206451495354,1.0,internal,0.23343714784764694,0.18698894296834928
RandomIncentive,7,0.5084440969507427,0.003743302595057767,7.5981499245562,1.0,internal,0.09626668797073694,0.09448310769967665
RandomIncentive,8,0.5373493975903614,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,9,0.37472014925373137,0.21311878583421404,9.108265231583527,1.0,internal,0.3274469946680281,0.2762485656454028
RandomIncentive,10,0.3487935656836461,0.15232421538640842,46.214699136968626,1.0,internal,0.2770265570861618,0.23404868664210082
RandomIncentive,11,0.4258706467661691,0.3634393187649503,85.42971147029837,1.0,internal,0.3219868089524357,0.22890222420443498
RandomIncentive,12,0.42586644125105666,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,13,0.3772317772317772,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,14,0.43871733966745846,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,15,0.4551339285714286,0.2519527673976905,30.186511099402278,1.0,internal,0.4310329985461568,0.3388116598133756
RandomIncentive,16,0.47952755905511807,0.2710462904307433,29.91240241653821,1.0,internal,0.42096331273754944,0.3225915860760088
RandomIncentive,17,0.5314005352363961,0.4276522103129749,28.64718373190288,1.0,internal,0.5756354372212751,0.4110805217735595
RandomIncentive,18,0.3219739292364991,0.06436522943751626,5.098416165286679,1.0,internal,0.08130222543101255,0.07499479816811833
RandomIncentive,19,0.5155124653739612,0.03005579010619165,13.267761310000303,1.0,internal,0.09857954095394546,0.09279901965645461
RandomIncentive,20,0.49064327485380116,0.11133154611327004,12.687275986694862,1.0,internal,0.13465982212586525,0.11612392189328755
RandomIncentive,21,0.4222013170272813,0.04835474788611936,9.679941040656237,1.0,internal,0.12885958751169238,0.11969174660066079
RandomIncentive,22,0.4716981132075472,0.11034881408742488,56.314376246492955,1.0,internal,0.19061564405501008,0.1593589383050246
RandomIncentive,23,0.4897959183673469,0.0684501960535395,11.021894432365357,1.0,internal,0.0937546355139595,0.08382436129865554
RandomIncentive,24,0.3287958115183246,0.2567004353307831,6.85189003419965,1.0,internal,0.12143589849163766,0.09556457609343447
RandomIncentive,25,0.5980263157894737,0.28448406443379853,61.51123492838595,1.0,internal,0.25672717217925367,0.18630392326894257
RandomIncentive,26,0.34293590627153686,0.2292193754561948,9.479570228887384,1.0,internal,0.24381403700407625,0.19731061471257968
RandomIncentive,27,0.5613756613756614,0.46744527302506117,21.351756178795593,1.0,internal,0.3656427534072305,0.22073994034887254
RandomIncentive,28,0.3886810102899906,0.05433643846776582,9.728311242709536,1.0,internal,0.13845053411053285,0.12731222878228052
RandomIncentive,29,0.41416837782340865,0.292057200962899,13.980034726513122,1.0,internal,0.4781528164574643,0.36124318141596334
RandomIncentive,30,0.4355048859934853,0.013421317530076542,7.230230095981982,1.0,internal,0.12827899143113206,0.12411784326101032
RandomIncentive,31,0.4313195548489666,0.12436154943763947,26.831331090598162,1.0,internal,0.23392810934353503,0.20290067387956193
RandomIncentive,32,0.41128526645768027,0.2610502933670142,40.601552368029395,1.0,internal,0.440242703109791,0.3392380911242701
RandomIncentive,33,0.45931174089068827,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,34,0.3125256673511293,0.14342295900808075,6.947768573643122,1.0,internal,0.16868361469607904,0.1492914250025316
RandomIncentive,35,0.5305597579425113,0.14929096964011224,8.104110132112945,1.0,internal,0.06628859495703968,0.052646267966628066
RandomIncentive,36,0.4731277533039647,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,37,0.4363636363636364,0.16908147448589433,10.553993576939861,1.0,internal,0.22967305091037166,0.18832241698937302
RandomIncentive,38,0.46419965576592076,0.30862353876569887,21.09472351817211,1.0,internal,0.41397152511506274,0.323941054388102
RandomIncentive,39,0.5308016877637132,0.23204097634657897,10.487124007695094,1.0,internal,0.17428940606894266,0.12424723959059049
RandomIncentive,40,0.45711743772242,0.3119805960341125,16.149167413385783,1.0,internal,0.31034377926482065,0.23935690470912963
RandomIncentive,41,0.43437500000000007,0.2046324145434232,39.608101230612775,1.0,internal,0.31240636056438753,0.2475377511373651
RandomIncentive,42,0.3819706498951782,0.29220711073626804,31.637100279515113,1.0,internal,0.5494513809794853,0.4369313591157161
RandomIncentive,43,0.4128440366972478,0.08859000254017262,21.457105732968202,1.0,internal,0.15804512375113006,0.141006024378448
RandomIncentive,44,0.37494521548575604,0.11396463501500281,8.170796741229692,1.0,internal,0.16533077498608786,0.14425327399883972
RandomIncentive,45,0.3992534218166736,0.12471345043316166,5.788614204532856,1.0,internal,0.20249546468039373,0.1701121651081047
RandomIncentive,46,0.31217292377701933,0.25980897554362137,17.80531227971011,1.0,internal,0.2966265634776153,0.23727043013638044
RandomIncentive,47,0.518954248366013,0.3634055496665266,26.764374289231032,1.0,internal,0.34579852366463787,0.25799600528700883
RandomIncentive,48,0.500909090909091,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,49,0.39397590361445783,0.26389057380865166,21.158858115918996,1.0,internal,0.30554625792128387,0.22061665945898495
BinaryAIGC,0,0.485611510791367,0.2428057553956835,16.45288744680515,1.0,internal,0.3463332807552484,0.2775286448474244
BinaryAIGC,1,0.6477328936521023,0.32386644682605115,17.884179115727147,1.0,internal,0.29335419003527236,0.2140329945524475
BinaryAIGC,2,0.5051282051282052,0.2525641025641026,25.080308101861647,1.0,internal,0.2924363924677068,0.21117871169220678
BinaryAIGC,3,0.4715596330275229,0.0,0.0,0.0,exit,0.0,0.0
BinaryAIGC,4,0.2866537717601547,0.14332688588007736,19.884866564361545,1.0,internal,0.35228029605422917,0.3063094034380509
BinaryAIGC,5,0.5545064377682404,0.2772532188841202,24.84536734229203,1.0,internal,0.41839598604419787,0.303014384408876
BinaryAIGC,6,0.4619565217391304,0.2309782608695652,24.200708534794074,1.0,internal,0.2739520206138689,0.21319105456151627
BinaryAIGC,7,0.5084440969507427,0.25422204847537133,13.28864109572607,1.0,internal,0.25350740618316625,0.18481041846543464
BinaryAIGC,8,0.5373493975903614,0.2686746987951807,13.173277643327351,1.0,internal,0.12793887247199523,0.09282503417919014
BinaryAIGC,9,0.37472014925373137,0.18736007462686569,8.2290309382963,1.0,internal,0.2867488120758728,0.24512519557979642
BinaryAIGC,10,0.3487935656836461,0.0,0.0,0.0,exit,0.0,0.0
BinaryAIGC,11,0.4258706467661691,0.0,0.0,0.0,exit,0.0,0.0
BinaryAIGC,12,0.42586644125105666,0.21293322062552833,13.74063110052243,1.0,internal,0.2558780323539287,0.20005140507557098
BinaryAIGC,13,0.3772317772317772,0.1886158886158886,17.687260903224686,1.0,internal,0.3504553875364939,0.2859219875069195
BinaryAIGC,14,0.43871733966745846,0.0,0.0,0.0,exit,0.0,0.0
BinaryAIGC,15,0.4551339285714286,0.2275669642857143,28.2823772373994,1.0,internal,0.3914846657200824,0.31203859174775117
BinaryAIGC,16,0.47952755905511807,0.23976377952755903,27.692140558949667,1.0,internal,0.3743146639353227,0.2919628483453074
BinaryAIGC,17,0.5314005352363961,0.26570026761819804,19.926569043347634,1.0,internal,0.32805110616063204,0.2516809294595652
BinaryAIGC,18,0.3219739292364991,0.16098696461824955,8.719168400099065,1.0,internal,0.15713685290658533,0.13649067721898178
BinaryAIGC,19,0.5155124653739612,0.2577562326869806,30.270115149616714,1.0,internal,0.3244350941735919,0.24707842608136932
BinaryAIGC,20,0.49064327485380116,0.24532163742690058,20.661936485510015,1.0,internal,0.26664229034550674,0.20990102270440825
BinaryAIGC,21,0.4222013170272813,0.21110065851364065,18.175378944656195,1.0,internal,0.3048374556597737,0.24748021674783216
BinaryAIGC,22,0.4716981132075472,0.0,0.0,0.0,exit,0.0,0.0
BinaryAIGC,23,0.4897959183673469,0.24489795918367346,20.41000008096164,1.0,internal,0.22655100089867417,0.17585698372140146
BinaryAIGC,24,0.3287958115183246,0.1643979057591623,5.603825278534496,1.0,internal,0.08943705144541057,0.07454530704315551
BinaryAIGC,25,0.5980263157894737,0.0,0.0,0.0,exit,0.0,0.0
BinaryAIGC,26,0.34293590627153686,0.17146795313576843,8.162539894053918,1.0,internal,0.1962601092126324,0.1645403012994942
BinaryAIGC,27,0.5613756613756614,0.2806878306878307,17.376155994492624,1.0,internal,0.2362288407451272,0.15967528672871195
BinaryAIGC,28,0.3886810102899906,0.1943405051449953,11.985953137852567,1.0,internal,0.20645804279951047,0.1628212254198797
BinaryAIGC,29,0.41416837782340865,0.20708418891170433,11.749487923404672,1.0,internal,0.3629651809298171,0.2886449628325096
BinaryAIGC,30,0.4355048859934853,0.21775244299674265,10.150968195470952,1.0,internal,0.2437755012142349,0.18509852397823695
BinaryAIGC,31,0.4313195548489666,0.0,0.0,0.0,exit,0.0,0.0
BinaryAIGC,32,0.41128526645768027,0.0,0.0,0.0,exit,0.0,0.0
BinaryAIGC,33,0.45931174089068827,0.22965587044534413,12.611303932910474,1.0,internal,0.1919692684667632,0.15232912282243022
