round,test_accuracy,test_loss,train_loss,avg_lambda_before,avg_lambda_after,budget_used,participation_rate,method
1,0.4585,1.5882270572662354,1.7644805406207742,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
2,0.56,1.229634666633606,1.2075784904496663,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
3,0.6423,1.0130527645111085,1.0413317157091089,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
4,0.6738,0.9673418833732605,0.6942444873322361,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
5,0.687,1.0615381921768188,0.45503228648750965,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
6,0.7122,0.9551170751571655,0.5125156607369604,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
7,0.7253,1.0456013409137725,0.3134676277753321,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
8,0.7285,1.0353006298542022,0.2917460455676598,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
9,0.7324,1.0773532398223877,0.2452704868348373,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
10,0.7389,1.1007235812187195,0.214323728117523,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
11,0.738,1.0700222574710847,0.17681284453915994,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
12,0.7433,1.0594107097148895,0.21065436592864598,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
13,0.7432,1.091704497718811,0.2021861577048155,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
14,0.749,1.0883213898658752,0.16522424617903864,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
15,0.7471,1.082510142993927,0.15354211669126322,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
16,0.7512,1.113040047454834,0.12517310870865586,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
17,0.7455,1.032913810157776,0.13690251944093232,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
18,0.7514,1.1093655549049377,0.12121732968259347,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
19,0.7454,1.1457217349052429,0.09576183553112437,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
20,0.7506,1.0999150058746339,0.12966809957789366,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
21,0.7593,1.0925633958816527,0.11342508854824378,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
22,0.7529,1.1619534559249878,0.08875244772796813,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
23,0.7584,1.123894254398346,0.10890836165900364,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
24,0.7527,1.147011996269226,0.09277822266162802,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
25,0.7587,1.1267600258827208,0.11565833419350652,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
26,0.7623,1.1483162668228148,0.0838460713922743,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
27,0.7592,1.138497737789154,0.06955588889693734,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
28,0.7632,1.2001988966941834,0.06010621515091061,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
29,0.7582,1.1983011039733886,0.06270698798270306,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
30,0.7579,1.159711904335022,0.09040290380694632,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
31,0.7635,1.2230082026481628,0.05796990287129675,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
32,0.762,1.242486293029785,0.05351439715891608,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
33,0.7608,1.1933928407669068,0.0623503203473787,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
34,0.7597,1.2643108541488648,0.05036035526518794,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
35,0.7623,1.1880439932823181,0.0647347455437298,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
36,0.7634,1.2263167585372925,0.046885745408763925,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
37,0.7639,1.2724702867507935,0.038929539904202025,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
38,0.7616,1.3001448090553285,0.04618597593276282,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
39,0.7614,1.3124244075775147,0.0400643887828636,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
40,0.7612,1.3380358234405518,0.03377296310140594,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
41,0.7637,1.319223812007904,0.03753238948451307,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
42,0.7627,1.3036314425468445,0.0363363028879281,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
43,0.765,1.4168205604553223,0.008771121949569798,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
44,0.7617,1.4094645272254944,0.03320223108543429,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
45,0.7639,1.3703446164131166,0.03394327913778996,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
46,0.7596,1.3223888134002686,0.037355594153096874,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
47,0.7642,1.3642038786888122,0.02806458156245679,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
48,0.7629,1.3205922324180603,0.036670551407490044,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
49,0.7621,1.3555426728248596,0.023150067276731797,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
50,0.7634,1.4031423093795776,0.021739958983941217,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
51,0.7659,1.4447202298164368,0.01554924684532775,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
52,0.7679,1.4276888731002808,0.019050658539266498,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
53,0.7662,1.470552567577362,0.010708739132365894,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
54,0.7683,1.4785867645263673,0.014351275635926308,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
55,0.7666,1.4691875356674193,0.014684639385548643,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
56,0.7676,1.4654394574165344,0.01488775807824686,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
57,0.7589,1.4342665895938873,0.02486766940109783,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
58,0.7611,1.4554264559745789,0.02422373881553864,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
59,0.764,1.4636910372257232,0.018723427691506558,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
60,0.7649,1.4459413274765014,0.023309916871761815,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
61,0.766,1.493695346546173,0.011048526103598537,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
62,0.7697,1.5698602754592896,0.0036289919108581856,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
63,0.7682,1.5737175587654113,0.00852675920720902,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
64,0.7664,1.5932721203804017,0.0074114371528470205,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
65,0.7653,1.5340655982017517,0.019475374319948797,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
66,0.7654,1.5713926686763764,0.006373542952090915,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
67,0.7673,1.5455921078681947,0.013693184960744459,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
68,0.7665,1.5615987171649932,0.009655852606551859,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
69,0.7674,1.5928843268871307,0.0073051446867550465,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
70,0.7665,1.5750655820846557,0.010225167308950024,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
71,0.7672,1.5669480971336365,0.013489346008234806,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
72,0.7668,1.584202386379242,0.006249368472510361,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
73,0.7689,1.6204525228977202,0.00239347549905768,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
74,0.7679,1.6080021990299225,0.009904946892507495,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
75,0.7669,1.6453956280231476,0.0026752392485997864,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
76,0.7692,1.6908104204177856,0.0038939317594441753,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
77,0.7671,1.6493047944545747,0.007554488904769468,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
78,0.7674,1.6738630129814147,0.004137388091921802,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
79,0.7674,1.6951514826774596,0.004366688361999715,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
80,0.7696,1.721231402015686,0.0031644057596693282,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
81,0.769,1.6914627270698548,0.005540242594287345,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
82,0.7697,1.719566511821747,0.0020103533437379104,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
83,0.7685,1.6931561625480651,0.006362420260800444,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
84,0.769,1.748021391582489,0.001226403207471345,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
85,0.7689,1.7638468628883361,0.0024810454808122506,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
86,0.7683,1.7745305680274963,0.0010312093895615585,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
87,0.7696,1.7988236225128174,0.000841682462281118,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
88,0.7687,1.8208273825645447,0.0013342107624825642,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
89,0.7692,1.8279642839431762,0.0025003563310973397,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
90,0.7705,1.8344758083343506,0.0034845320174760218,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
91,0.7713,1.8211220950126648,0.003869323553356918,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
92,0.7709,1.8401380110263825,0.0005944085230295364,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
93,0.7681,1.7876295158863067,0.013071896839893665,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
94,0.7682,1.8150376733779907,0.0005688822880711486,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
95,0.7694,1.830531515598297,0.00029468179694889813,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
96,0.7682,1.8155702424049378,0.006707182954489755,0.3923719114197955,0.19158591362843388,10.045023125304382,1.0,proposed_active_set
