round,test_accuracy,test_loss,train_loss,avg_lambda_before,avg_lambda_after,budget_used,participation_rate,method
1,0.2472,2.124084033203125,2.071365403070078,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
2,0.2871,1.8988887573242188,1.7478042152020619,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
3,0.392,1.643688346862793,1.6429187786873118,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
4,0.4578,1.4999686828613281,1.4335922301518629,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
5,0.4774,1.4312864791870117,1.280585629280631,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
6,0.524,1.3312096939086915,1.2909837237383621,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
7,0.5362,1.2944355377197265,1.1241859812553978,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
8,0.5625,1.2299992126464845,1.0794472920641678,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
9,0.5631,1.22091785736084,1.1008249331940414,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
10,0.5765,1.1880445449829102,1.007142194991079,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
11,0.586,1.163879997253418,0.9399291728661762,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
12,0.6158,1.1001592666625977,0.9211025252464884,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
13,0.6309,1.0607598136901855,0.849038666395022,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
14,0.6386,1.0389980682373048,0.7893630786726745,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
15,0.6517,0.9993403205871582,0.7636499587506339,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
16,0.6569,1.005926823425293,0.6532387939899079,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
17,0.6628,1.0022435539245604,0.6385412792152263,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
18,0.6626,1.0004443786621093,0.6318508282223624,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
19,0.6646,1.008512077331543,0.5656129488947124,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
20,0.6822,0.9576432621002198,0.5960285654759124,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
21,0.6836,0.9716472999572754,0.48699141885289093,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
22,0.6856,0.9816672775268555,0.48564848317357356,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
23,0.6951,0.9365148895263672,0.4914810174892658,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
24,0.6956,0.9601869096755982,0.42143218726366205,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
25,0.7036,0.9623821521759033,0.4101133952091914,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
26,0.7096,0.9620808198928833,0.3662933141727339,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
27,0.7025,0.9827138147354126,0.3450846818393289,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
28,0.7104,0.9586016593933105,0.3377266026157027,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
29,0.7132,0.9656168365478516,0.34165494150714254,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
30,0.7137,0.9440698926925659,0.33996338847339913,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
31,0.7211,0.936217611503601,0.32597448888478686,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
32,0.7175,0.9706799942016602,0.2884127736542195,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
33,0.7203,0.9493183815956115,0.292818164653043,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
34,0.722,0.922527402305603,0.29253935445889173,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
35,0.7205,0.9602807205200196,0.2631930575269482,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
36,0.7252,0.9884162775039673,0.23315057822248453,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
37,0.7314,0.9274177061080933,0.25961928464433626,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
38,0.7266,0.985921081161499,0.20765255632712865,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
39,0.7283,1.0118531538009643,0.21805664371101777,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
40,0.7315,1.0056053735733033,0.20052715642123808,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
41,0.727,0.98097142868042,0.22143825910737622,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
42,0.7326,1.0172784541130067,0.1667131957757834,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
43,0.7302,1.032927340888977,0.17995408652346975,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
44,0.7367,1.0134625573158265,0.18877496756428805,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
45,0.7348,0.9681145906448364,0.19556329160738317,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
46,0.7373,0.9890900875091553,0.19520219903555255,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
47,0.738,0.9683216396331787,0.20038171041970318,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
48,0.7368,0.9587165410041809,0.1886191871990227,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
49,0.738,0.9923390584945678,0.14782322936361564,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
50,0.7404,0.9702807559013367,0.16303777862003072,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
51,0.7417,0.9736884691238403,0.1663841463264507,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
52,0.7425,0.9923011534690857,0.1527503127065197,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
53,0.7404,0.9997545873641968,0.14138864156447317,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
54,0.7437,1.023245092010498,0.1289112847604028,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
55,0.7416,1.025434651374817,0.14362526399258774,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
56,0.7417,0.9933124732017518,0.1451741464971408,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
57,0.7456,0.9347370557785034,0.1788385403557127,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
58,0.7443,0.995520120716095,0.12202477103406306,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
59,0.7487,0.9788579917907715,0.13169403862983203,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
60,0.7464,1.0032321741104127,0.14216925481116283,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
61,0.7485,0.9811917882919311,0.15077338871209991,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
62,0.7469,1.0430234484672547,0.09709792316048275,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
63,0.7471,1.0120567810058594,0.12876171389074312,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
64,0.7423,1.048383263015747,0.1252115322975209,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
65,0.7502,1.0001562999725342,0.11236651303711208,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
66,0.7498,1.0184417476654053,0.11674998951510045,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
67,0.75,0.9834737518310547,0.1137216661215134,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
68,0.746,1.0622942737579346,0.09786012164515559,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
69,0.7528,1.0222607986450196,0.11361381387304184,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
70,0.7506,1.0489364431381225,0.0826890711561323,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
71,0.7466,1.0447280303955078,0.09345099418041858,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
72,0.7532,1.0584791487693788,0.08098549258030506,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
73,0.7521,1.0476186588287353,0.07527201166790985,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
74,0.7456,1.0132313515663147,0.1256314065799211,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
75,0.7524,1.0861188442230225,0.06828845102438257,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
76,0.7542,1.0578139049530029,0.0975427998140062,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
77,0.7542,1.0102761255264283,0.10462098989549101,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
78,0.7537,1.0532712656021117,0.08449516082030836,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
79,0.7525,1.0216334135055543,0.10736490957969518,0.4466706009444998,0.260010774538171,10.78378912909116,1.0,quality_gap_proportional
