round,test_accuracy,test_loss,train_loss,avg_lambda_before,avg_lambda_after,budget_used,participation_rate,method
1,0.2219,2.17929765625,2.161763544413196,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
2,0.3331,1.881475830078125,1.9180702671668548,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
3,0.4123,1.6586978881835936,1.7522882397189061,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
4,0.4365,1.5271339477539063,1.5307258459508026,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
5,0.4511,1.4895864227294922,1.4135433805045943,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
6,0.4984,1.3901079666137695,1.3678017851975306,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
7,0.5161,1.3425549438476563,1.2703974565088385,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
8,0.5258,1.3179854110717772,1.2269030790502842,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
9,0.5473,1.2675844802856446,1.1735842894078616,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
10,0.5639,1.2198135177612304,1.1382965972177093,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
11,0.5714,1.198680581665039,0.9974762909676155,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
12,0.5957,1.1492803894042969,1.041217170999472,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
13,0.6098,1.1018076377868653,0.9843825277317083,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
14,0.619,1.086745765686035,0.8996303936547063,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
15,0.6269,1.0569303390502929,0.8745812232211512,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
16,0.6388,1.0330952087402343,0.8253196402266849,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
17,0.6533,1.0077621139526367,0.7748433149177814,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
18,0.6545,1.0009894271850586,0.7217258053575847,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
19,0.6621,0.9878142364501953,0.6507052334299981,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
20,0.67,0.9736587432861328,0.633868576448778,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
21,0.6748,0.9529806922912598,0.6299294880814452,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
22,0.6852,0.9601661191940307,0.550407384584712,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
23,0.6879,0.9459836585998536,0.5674344702104831,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
24,0.6873,0.9843572286605835,0.4681155186524289,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
25,0.6934,0.9582435159683228,0.47257429157181524,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
26,0.6994,0.9405263573646545,0.4802171468537889,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
27,0.7004,0.98749044008255,0.40612301400724404,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
28,0.7075,0.9734066871643067,0.38786714545929885,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
29,0.7055,0.9898367451667786,0.3712346256057739,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
30,0.7144,0.9526717811584473,0.3481766787459159,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
31,0.7143,0.9645831809997558,0.33160770808406936,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
32,0.7162,0.9767485692977905,0.32015973875969167,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
33,0.719,0.9459213779449462,0.3349541412936403,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
34,0.7197,0.9668778812408447,0.2801276853006375,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
35,0.727,0.9683055660247802,0.2722169762941425,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
36,0.7223,0.9953196128845215,0.2555663844292614,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
37,0.7247,0.9660684127807617,0.28093810557488375,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
38,0.7245,0.93861001329422,0.29184552462593666,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
39,0.7276,0.96865050573349,0.2576833100281235,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
40,0.7336,0.982544580078125,0.24110679115152742,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
41,0.7296,0.9488048183441162,0.2677486600925839,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
42,0.729,0.9724563050270081,0.22992744467702853,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
43,0.7359,0.970442467880249,0.21398501759804997,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
44,0.7344,0.987614115524292,0.19944515948241787,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
45,0.7368,0.9603033816337585,0.22179510320652576,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
46,0.7395,0.9770560945510864,0.1996731922010242,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
47,0.7349,1.0043419107437135,0.17986034970104015,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
48,0.7396,0.9749444030761719,0.2040393410833088,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
49,0.7397,1.0075469491958617,0.16825249225092045,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
50,0.7385,0.988437543296814,0.19574251903244247,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
51,0.7379,0.9823575388431549,0.17631115530632344,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
52,0.7417,0.9835072122573852,0.1677269140616109,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
53,0.7413,1.013333558177948,0.14653452213601947,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
54,0.7403,1.0314942564964293,0.13452214579141233,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
55,0.7438,1.033491230583191,0.12214525649396006,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
56,0.7379,0.9804515944480896,0.16886113916527584,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
57,0.7453,1.0054440254211425,0.1441852340098789,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
58,0.7458,1.0472581872940063,0.12005010496314693,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
59,0.743,1.0205579831123353,0.1542016256330619,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
60,0.7438,0.9947672571182251,0.15264550703959304,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
61,0.7455,0.9975985505580902,0.15564893351073814,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
62,0.7491,1.015835416316986,0.11377652899287208,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
63,0.7482,1.0526447693824768,0.11435878144142712,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
64,0.7476,0.994989697933197,0.13920083709355752,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
65,0.749,1.0303355719089509,0.11748874907922886,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
66,0.7468,0.9545934780120849,0.16751652480088056,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
67,0.7484,0.98675139503479,0.13656105235136987,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
68,0.745,1.0240929347991943,0.10635849835546339,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
69,0.7516,1.0356927745819091,0.09685611234378043,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
70,0.7526,1.0454411712646485,0.10772783115422885,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
71,0.7508,1.0778506725311279,0.08124827550192915,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
72,0.7455,1.0120684876441957,0.13491357864378892,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
73,0.7508,1.0506171844482421,0.09065496136693256,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
74,0.748,1.0021111998558045,0.1354933231951471,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
75,0.7509,1.0665102533340454,0.07786146120204675,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
76,0.7501,1.0236709031105042,0.12059224370578038,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
77,0.7512,1.036823847579956,0.09795671033682593,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
78,0.7512,1.0700950766563415,0.08496376972756473,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
79,0.7501,1.0706033458709716,0.10420056917607319,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
80,0.7496,1.0529510772705077,0.10780827728202581,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
81,0.7534,1.0775242405891419,0.08007112305567317,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
82,0.755,1.06143724193573,0.08699096173199573,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
83,0.7541,1.066344164276123,0.08232202194324001,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
84,0.745,1.0514198010444642,0.11053554156609206,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
85,0.7508,1.0749663890838623,0.0766425475856876,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
86,0.7508,1.0707223077774048,0.08662669933553953,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
87,0.7514,1.123589507675171,0.057405383983803404,0.35302808137842895,0.2137981940523293,9.41187940514973,0.78,binary_aigc
