round,test_accuracy,test_loss,train_loss,avg_lambda_before,avg_lambda_after,budget_used,participation_rate,method
1,0.1353,2.296793359375,1.9518734753417213,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
2,0.1956,2.101651025390625,1.8533455452858647,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
3,0.2462,2.0161531494140625,1.7457988698180804,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
4,0.257,1.9366596130371094,1.5572845518975713,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
5,0.3409,1.7659906188964845,1.5626108564890107,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
6,0.4091,1.6454463989257813,1.4230458450738965,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
7,0.3844,1.619277264404297,1.3131541310039225,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
8,0.4168,1.5627843200683593,1.3313547229280276,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
9,0.4312,1.5493452514648438,1.2989985867010727,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
10,0.4526,1.4773468688964844,1.22153253980998,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
11,0.4682,1.455624188232422,1.0853832573779805,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
12,0.4862,1.401995344543457,1.218524332455473,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
13,0.4826,1.3932961715698242,1.1083374869095037,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
14,0.4987,1.361653564453125,1.0861116045055892,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
15,0.4885,1.365828955078125,1.1120155408523407,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
16,0.5204,1.3169070068359374,1.0128345317509668,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
17,0.5299,1.2720592391967773,1.0520358241412373,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
18,0.5615,1.2200140274047853,1.0270902545421656,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
19,0.5563,1.2325654037475586,0.9246639558698189,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
20,0.558,1.218892253112793,0.941481122786823,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
21,0.5791,1.1708527320861817,0.9410803501892195,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
22,0.5702,1.1927905754089356,0.8433714640896561,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
23,0.5909,1.144431421661377,0.9023268094586925,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
