round,test_accuracy,test_loss,train_loss,avg_lambda_before,avg_lambda_after,budget_used,participation_rate,method
1,0.2313,2.1511751953125,2.010680072790949,0.4466706009444998,0.2741163241492761,11.003055876586126,1.0,fixed_price
2,0.2729,1.9521292175292968,1.616432913204075,0.4466706009444998,0.2741163241492761,11.003055876586126,1.0,fixed_price
3,0.3985,1.6519554183959961,1.2775981339576226,0.4466706009444998,0.2741163241492761,11.003055876586126,1.0,fixed_price
4,0.4605,1.5075690902709962,1.057422864035947,0.4466706009444998,0.2741163241492761,11.003055876586126,1.0,fixed_price
5,0.4538,1.520231266784668,0.8500840707019698,0.4466706009444998,0.2741163241492761,11.003055876586126,1.0,fixed_price
6,0.5254,1.328985467529297,0.7382180845807305,0.4466706009444998,0.2741163241492761,11.003055876586126,1.0,fixed_price
7,0.511,1.3772111572265624,0.6490644659837769,0.4466706009444998,0.2741163241492761,11.003055876586126,1.0,fixed_price
8,0.5702,1.2600854232788086,0.5368192240496682,0.4466706009444998,0.2741163241492761,11.003055876586126,1.0,fixed_price
9,0.5888,1.1688110214233398,0.5988299049282235,0.4466706009444998,0.2741163241492761,11.003055876586126,1.0,fixed_price
10,0.5991,1.1900313331604004,0.4944874362436829,0.4466706009444998,0.2741163241492761,11.003055876586126,1.0,fixed_price
11,0.6018,1.1428434532165528,0.54435486820406,0.4466706009444998,0.2741163241492761,11.003055876586126,1.0,fixed_price
12,0.6193,1.1637404335021972,0.36674383255253235,0.4466706009444998,0.2741163241492761,11.003055876586126,1.0,fixed_price
13,0.6246,1.082601559448242,0.4361968629578813,0.4466706009444998,0.2741163241492761,11.003055876586126,1.0,fixed_price
14,0.6279,1.1205311763763428,0.3838077373645641,0.4466706009444998,0.2741163241492761,11.003055876586126,1.0,fixed_price
15,0.6533,1.057791544342041,0.34570489879208804,0.4466706009444998,0.2741163241492761,11.003055876586126,1.0,fixed_price
16,0.6562,1.0432783290863037,0.3065384560782417,0.4466706009444998,0.2741163241492761,11.003055876586126,1.0,fixed_price
17,0.64,1.1038737493515014,0.39955078453919546,0.4466706009444998,0.2741163241492761,11.003055876586126,1.0,fixed_price
18,0.6473,1.1146086154937744,0.28399565135955107,0.4466706009444998,0.2741163241492761,11.003055876586126,1.0,fixed_price
19,0.6486,1.1327473731994628,0.3709066233424424,0.4466706009444998,0.2741163241492761,11.003055876586126,1.0,fixed_price
20,0.6396,1.121910963821411,0.30557116097561454,0.4466706009444998,0.2741163241492761,11.003055876586126,1.0,fixed_price
21,0.6588,1.0739437911987304,0.27904084585733896,0.4466706009444998,0.2741163241492761,11.003055876586126,1.0,fixed_price
22,0.6807,1.002848780632019,0.3062323195484856,0.4466706009444998,0.2741163241492761,11.003055876586126,1.0,fixed_price
23,0.6792,1.0697072170257569,0.22110529299870227,0.4466706009444998,0.2741163241492761,11.003055876586126,1.0,fixed_price
24,0.6909,0.9490200138092041,0.34618507208429167,0.4466706009444998,0.2741163241492761,11.003055876586126,1.0,fixed_price
25,0.6906,1.0740173301696778,0.16676614144975543,0.4466706009444998,0.2741163241492761,11.003055876586126,1.0,fixed_price
26,0.671,1.162272384262085,0.15462289477506796,0.4466706009444998,0.2741163241492761,11.003055876586126,1.0,fixed_price
27,0.6744,1.0421690341949463,0.2680492721257037,0.4466706009444998,0.2741163241492761,11.003055876586126,1.0,fixed_price
28,0.6916,1.051330356025696,0.16987777133267976,0.4466706009444998,0.2741163241492761,11.003055876586126,1.0,fixed_price
29,0.6901,1.018554217529297,0.20074057612025234,0.4466706009444998,0.2741163241492761,11.003055876586126,1.0,fixed_price
30,0.6961,1.0236165409088134,0.17800421288173393,0.4466706009444998,0.2741163241492761,11.003055876586126,1.0,fixed_price
31,0.6751,1.1094867657661438,0.16818893687877545,0.4466706009444998,0.2741163241492761,11.003055876586126,1.0,fixed_price
32,0.6997,1.031787624168396,0.17837146759533593,0.4466706009444998,0.2741163241492761,11.003055876586126,1.0,fixed_price
33,0.6846,1.0657295966148377,0.1824057370903257,0.4466706009444998,0.2741163241492761,11.003055876586126,1.0,fixed_price
34,0.7053,0.945482776260376,0.2084964138184269,0.4466706009444998,0.2741163241492761,11.003055876586126,1.0,fixed_price
35,0.7102,0.9944360645294189,0.14969145182249147,0.4466706009444998,0.2741163241492761,11.003055876586126,1.0,fixed_price
36,0.6768,1.2523989437103271,0.13081727860268386,0.4466706009444998,0.2741163241492761,11.003055876586126,1.0,fixed_price
37,0.7013,1.0074540133476257,0.17219625948250092,0.4466706009444998,0.2741163241492761,11.003055876586126,1.0,fixed_price
38,0.7081,0.9879074907302856,0.19051311391798087,0.4466706009444998,0.2741163241492761,11.003055876586126,1.0,fixed_price
39,0.711,1.0898950597763062,0.09335488915047778,0.4466706009444998,0.2741163241492761,11.003055876586126,1.0,fixed_price
40,0.7052,1.0399505266189575,0.13084575997829434,0.4466706009444998,0.2741163241492761,11.003055876586126,1.0,fixed_price
41,0.7022,1.1263925178527832,0.12471413748636972,0.4466706009444998,0.2741163241492761,11.003055876586126,1.0,fixed_price
42,0.7021,0.9840373708724975,0.18929999374578677,0.4466706009444998,0.2741163241492761,11.003055876586126,1.0,fixed_price
43,0.6929,1.2065487352371216,0.07759447078762133,0.4466706009444998,0.2741163241492761,11.003055876586126,1.0,fixed_price
