round,test_accuracy,test_loss,train_loss,avg_lambda_before,avg_lambda_after,budget_used,participation_rate,method
1,0.1354,2.296847265625,1.9518754713030244,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
2,0.1951,2.10131376953125,1.8533338252659084,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
3,0.2453,2.0158544921875,1.7456921783205899,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
4,0.2568,1.9376671813964843,1.55705109161345,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
5,0.3404,1.7654780822753906,1.5626144434848914,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
6,0.4091,1.646162127685547,1.4230967990209122,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
7,0.3849,1.6193414001464843,1.3128998207632872,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
8,0.417,1.5636558853149414,1.331531608353953,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
9,0.4304,1.5491162078857421,1.299024049586481,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
10,0.4538,1.4772257873535157,1.2212723729002806,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
11,0.4679,1.455583642578125,1.0852242552741804,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
12,0.4858,1.401945066833496,1.218410269636953,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
13,0.4828,1.3937078903198241,1.108193450062475,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
14,0.499,1.3608108016967773,1.085329007332094,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
15,0.4885,1.3667031311035156,1.1120486991579108,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
16,0.5199,1.31663995513916,1.0132850569716232,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
17,0.5295,1.2716432403564453,1.0518101123251233,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
18,0.5613,1.2202789169311523,1.0272036149136272,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
19,0.5555,1.233553759765625,0.9245303016801119,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
20,0.5564,1.2188908599853516,0.9409972149311159,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
21,0.579,1.170269255065918,0.9405942803470313,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
22,0.5707,1.192941456604004,0.8432593688470614,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
23,0.5921,1.1423883544921876,0.9015797727489536,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
24,0.5768,1.1877034774780273,0.7329250849342186,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
25,0.5836,1.1462483116149902,0.8011883952558162,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
26,0.6161,1.0712704238891602,0.8301313463914908,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
27,0.5978,1.1685552825927734,0.7577072421043237,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
28,0.6235,1.081478010559082,0.7431904369838801,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
29,0.6199,1.0964903175354004,0.6944254740219964,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
30,0.6301,1.0536067687988282,0.6471354109626025,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
31,0.6144,1.1109766452789307,0.656249655893298,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
32,0.6442,1.0248433837890625,0.6461469005779565,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
33,0.6459,1.0162137351989746,0.6369244771820819,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
34,0.639,1.060035175704956,0.5652465849142713,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
35,0.6576,0.9953756813049316,0.5824161095671746,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
36,0.661,1.0084114295959472,0.5680683441535362,0.35302808137842895,0.35302808137842895,0.03046105087486065,1.0,no_aigc
