round,test_accuracy,test_loss,train_loss,avg_lambda_before,avg_lambda_after,budget_used,participation_rate,method
1,0.2636,2.13982255859375,2.043713932131948,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
2,0.3572,1.772640087890625,1.6797464323680846,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
3,0.41,1.5950627502441406,1.4580544060501746,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
4,0.4446,1.5272155120849609,1.2217516736364997,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
5,0.4734,1.4452335983276368,1.194791093988498,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
6,0.503,1.38264825592041,1.1268109090103344,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
7,0.5001,1.374853466796875,1.0240421498573258,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
8,0.5179,1.3484506790161133,0.9513791641801724,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
9,0.5473,1.271813201904297,0.9352421723003538,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
10,0.5511,1.2672302658081054,0.7935931687275706,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
11,0.5523,1.283142078399658,0.7028073598184129,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
12,0.6016,1.1456593879699708,0.806772517399291,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
13,0.6011,1.1273156524658203,0.7190064714972402,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
14,0.6139,1.1216779823303222,0.6318910231534461,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
15,0.6187,1.0911703956604004,0.6443208124749836,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
16,0.6294,1.1372711936950683,0.4989059896471358,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
17,0.6291,1.0774755393981934,0.5548863288782125,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
18,0.6548,1.0120058013916016,0.5829306131375809,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
19,0.66,1.0045997215270996,0.5406329083750444,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
20,0.6672,1.000656378173828,0.45990231219162003,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
21,0.6729,1.005298539352417,0.4464276932635921,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
22,0.6605,1.0263239990234374,0.38383714329393187,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
23,0.657,1.0268226837158203,0.4415279820642128,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
24,0.6709,1.0513582746505736,0.2976157617644971,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
25,0.676,1.0078058502197265,0.37601339127036293,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
26,0.6881,0.9913312175750733,0.33138629120034463,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
27,0.6752,1.0744082294464112,0.3382744668228772,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
28,0.6867,1.0788095359802246,0.24550785498519484,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
29,0.6845,1.0780756282806396,0.3028821107906906,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
30,0.6893,1.003477761077881,0.26791091711347076,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
31,0.6944,1.0264259761810304,0.2529496981703546,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
32,0.6906,1.03469913482666,0.24913075580192456,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
33,0.6995,0.9817654596328735,0.29065647604174355,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
34,0.7028,1.0172707538604737,0.21413855055911518,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
35,0.7047,0.9880943396568298,0.22895679675553934,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
36,0.7081,1.0035365783691406,0.20796106526320557,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
37,0.7098,0.9978806858062744,0.2123619633038519,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
38,0.7118,0.9788006832122803,0.2405367081817505,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
39,0.7148,0.9701296411514282,0.2558669498464893,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
40,0.7097,1.0187352037429809,0.19444065310907666,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
41,0.7202,0.928155676651001,0.24854898009442516,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
42,0.7105,1.0580738214492797,0.16291265862408535,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
43,0.7179,1.0079600147247314,0.1684078959806238,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
44,0.7197,0.9840913927078248,0.1988295046375515,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
45,0.7165,0.9558206798553467,0.22983172592454829,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
46,0.7232,0.9936743089675903,0.1634724449930032,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
47,0.719,1.0499082218170166,0.12286537421247468,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
48,0.7139,1.0103520259857177,0.19252648717833418,0.35302808137842895,0.23436197198374448,9.561845577622691,0.74,random_incentive
