round,test_accuracy,test_loss,train_loss,avg_lambda_before,avg_lambda_after,budget_used,participation_rate,method
1,0.1465,2.2947035537719724,2.2852749640835173,0.44786725620102913,0.4444605640415034,0.058532851217465064,1.0,proposed_active_set
2,0.1817,2.286061895751953,2.2757385446826537,0.44786725620102913,0.4444605640415034,0.058532851217465064,1.0,proposed_active_set
3,0.1969,2.277452850341797,2.2663951289837465,0.44786725620102913,0.4444605640415034,0.058532851217465064,1.0,proposed_active_set
4,0.2117,2.2688383167266846,2.2562387813837903,0.44786725620102913,0.4444605640415034,0.058532851217465064,1.0,proposed_active_set
5,0.2194,2.2600806632995605,2.246402607186422,0.44786725620102913,0.4444605640415034,0.058532851217465064,1.0,proposed_active_set
6,0.2467,2.250947296524048,2.236760872995745,0.44786725620102913,0.4444605640415034,0.058532851217465064,1.0,proposed_active_set
7,0.2811,2.2416062755584716,2.2258971611156335,0.44786725620102913,0.4444605640415034,0.058532851217465064,1.0,proposed_active_set
8,0.3399,2.2317153015136717,2.215428078942316,0.44786725620102913,0.4444605640415034,0.058532851217465064,1.0,proposed_active_set
9,0.4004,2.2212333221435547,2.203734740232206,0.44786725620102913,0.4444605640415034,0.058532851217465064,1.0,proposed_active_set
10,0.46,2.2101915325164794,2.191882596944736,0.44786725620102913,0.4444605640415034,0.058532851217465064,1.0,proposed_active_set
11,0.4811,2.1986680179595948,2.179335838365536,0.44786725620102913,0.4444605640415034,0.058532851217465064,1.0,proposed_active_set
12,0.4854,2.1865406394958495,2.1668847162513476,0.44786725620102913,0.4444605640415034,0.058532851217465064,1.0,proposed_active_set
13,0.4967,2.173423028564453,2.1532274736853183,0.44786725620102913,0.4444605640415034,0.058532851217465064,1.0,proposed_active_set
14,0.4928,2.1592671520233155,2.1384065846405873,0.44786725620102913,0.4444605640415034,0.058532851217465064,1.0,proposed_active_set
15,0.4974,2.143779105377197,2.121816278681459,0.44786725620102913,0.4444605640415034,0.058532851217465064,1.0,proposed_active_set
16,0.4957,2.127180340576172,2.1040566931925757,0.44786725620102913,0.4444605640415034,0.058532851217465064,1.0,proposed_active_set
17,0.5071,2.1086958042144777,2.0858571537395374,0.44786725620102913,0.4444605640415034,0.058532851217465064,1.0,proposed_active_set
18,0.5185,2.0890980865478515,2.064662997876171,0.44786725620102913,0.4444605640415034,0.058532851217465064,1.0,proposed_active_set
19,0.5186,2.068345455169678,2.0422357847595443,0.44786725620102913,0.4444605640415034,0.058532851217465064,1.0,proposed_active_set
20,0.5236,2.046172325515747,2.019587117991679,0.44786725620102913,0.4444605640415034,0.058532851217465064,1.0,proposed_active_set
21,0.5248,2.022579692077637,1.9937060057810765,0.44786725620102913,0.4444605640415034,0.058532851217465064,1.0,proposed_active_set
22,0.5376,1.9970465419769288,1.9683993500195582,0.44786725620102913,0.4444605640415034,0.058532851217465064,1.0,proposed_active_set
23,0.5395,1.969675158882141,1.938512203675492,0.44786725620102913,0.4444605640415034,0.058532851217465064,1.0,proposed_active_set
24,0.5383,1.9403792234420776,1.9077875873685495,0.44786725620102913,0.4444605640415034,0.058532851217465064,1.0,proposed_active_set
