round,test_accuracy,test_loss,train_loss,avg_lambda_before,avg_lambda_after,budget_used,participation_rate,method
1,0.38,2.107649326324463,2.0387062356962224,0.4444665653844994,0.37222107383549935,0.8422272377757306,1.0,data_size_proportional
2,0.6577,1.6014073272705078,1.6358954808526809,0.4444665653844994,0.37222107383549935,0.8422272377757306,1.0,data_size_proportional
3,0.6955,1.1379733974456787,1.147315435211836,0.4444665653844994,0.37222107383549935,0.8422272377757306,1.0,data_size_proportional
4,0.7113,0.9299085783004761,0.8807489398838838,0.4444665653844994,0.37222107383549935,0.8422272377757306,1.0,data_size_proportional
5,0.7214,0.828023837184906,0.766225160606257,0.4444665653844994,0.37222107383549935,0.8422272377757306,1.0,data_size_proportional
6,0.7344,0.7707583675384522,0.7090847294448638,0.4444665653844994,0.37222107383549935,0.8422272377757306,1.0,data_size_proportional
7,0.7402,0.7317093872070313,0.6722592160566372,0.4444665653844994,0.37222107383549935,0.8422272377757306,1.0,data_size_proportional
8,0.7502,0.7049889872074128,0.6462110770236388,0.4444665653844994,0.37222107383549935,0.8422272377757306,1.0,data_size_proportional
9,0.7562,0.681842174911499,0.6273255028931639,0.4444665653844994,0.37222107383549935,0.8422272377757306,1.0,data_size_proportional
10,0.7555,0.6646561678409576,0.6066822445777578,0.4444665653844994,0.37222107383549935,0.8422272377757306,1.0,data_size_proportional
11,0.7647,0.6467807347774506,0.5897289660343824,0.4444665653844994,0.37222107383549935,0.8422272377757306,1.0,data_size_proportional
12,0.7717,0.6356847372531891,0.5797344478043548,0.4444665653844994,0.37222107383549935,0.8422272377757306,1.0,data_size_proportional
13,0.7741,0.6220792152404785,0.5624899336261454,0.4444665653844994,0.37222107383549935,0.8422272377757306,1.0,data_size_proportional
14,0.7793,0.6132887300014496,0.5522034233125933,0.4444665653844994,0.37222107383549935,0.8422272377757306,1.0,data_size_proportional
15,0.779,0.606314573431015,0.542407057495675,0.4444665653844994,0.37222107383549935,0.8422272377757306,1.0,data_size_proportional
16,0.7766,0.596255139875412,0.5276236071466913,0.4444665653844994,0.37222107383549935,0.8422272377757306,1.0,data_size_proportional
