round,test_accuracy,test_loss,train_loss,avg_lambda_before,avg_lambda_after,budget_used,participation_rate,method
1,0.2699,2.2210638580322266,1.9478681900530468,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
2,0.3896,2.0376397022247312,1.7032755368518164,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
3,0.5643,1.7379703384399414,1.424388415805359,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
4,0.6678,1.4184527370452882,1.1458752914789208,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
5,0.692,1.188478914642334,0.938109185704647,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
6,0.6997,1.0476448881149292,0.815149727420463,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
7,0.7061,0.9559523675918579,0.7428234141020383,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
8,0.711,0.893590838432312,0.6957390454579638,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
9,0.7213,0.845813401889801,0.6566339104492069,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
10,0.7254,0.8152022691726685,0.6301247157353315,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
11,0.7301,0.7857188829421997,0.6115783564428625,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
12,0.728,0.7645069490432739,0.5892961519179211,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
13,0.7337,0.7453057121753692,0.579185001126945,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
14,0.7408,0.7310105923652649,0.5683837137343217,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
15,0.7452,0.7169020009517669,0.5526861970873161,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
16,0.7484,0.70507066822052,0.5474378493415247,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
17,0.7542,0.6941655466556549,0.5333937563261268,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
18,0.7492,0.6883628198623657,0.5239915199850471,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
19,0.7591,0.6760891408443451,0.5196459882976303,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
20,0.7611,0.6686238203525543,0.5166273665261566,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
21,0.762,0.6611379736900329,0.5065758822465457,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
22,0.7629,0.6528191300868988,0.49621901641126037,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
23,0.7683,0.6462259141921997,0.4926142590055552,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
24,0.77,0.6390957244396209,0.4807452223415172,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
25,0.7689,0.6346725116252899,0.4812838011903548,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
26,0.7702,0.627471044921875,0.47218626001778075,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
27,0.7721,0.6240328993320465,0.4660057424079285,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
28,0.7753,0.6175606121540069,0.46491030256086435,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
29,0.7795,0.6125625450134278,0.46113735445817106,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
30,0.7814,0.6080349936008453,0.45635598113717085,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
31,0.7795,0.6017886741161347,0.45426460107584626,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
32,0.7815,0.5982713554382324,0.45179482088108136,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
33,0.7833,0.5961951457977295,0.4504592759591423,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
34,0.7833,0.5919909771919251,0.44121212220948325,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
35,0.7849,0.5869937918663025,0.4411871754146014,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
36,0.7857,0.5825429062843323,0.43822464409458023,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
37,0.7902,0.5793947117805481,0.4348209884951212,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
38,0.7881,0.5750783776283264,0.4296418404632444,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
39,0.7929,0.5734572776794433,0.42573684010655743,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
40,0.7912,0.5678425200462341,0.420244673347096,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
41,0.7933,0.5654143741607666,0.41803270195356446,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
42,0.7935,0.5626674661636353,0.4233873749346846,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
43,0.7935,0.562343210554123,0.4150273585081469,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
44,0.796,0.5565831156730652,0.41244124292335294,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
45,0.7961,0.5540710069656372,0.41368899107392637,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
46,0.797,0.552177918624878,0.4052191207249589,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
47,0.7988,0.548740019750595,0.4076964470896668,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
48,0.7987,0.5459298917770385,0.41029901624064335,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
49,0.8009,0.5426739263534546,0.40194281219281275,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
50,0.8011,0.5433613231658936,0.4005932373192482,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
51,0.8022,0.5400279122829438,0.40103334650438677,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
52,0.8023,0.537614369058609,0.3985841343870261,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
53,0.8045,0.5325456908226013,0.39177596383555535,0.4444665653844994,0.4434451726088558,0.05710544915759788,1.0,no_aigc
