round,test_accuracy,test_loss,train_loss,avg_lambda_before,avg_lambda_after,budget_used,participation_rate,method
1,0.132,2.230542552185059,0.9483071378281538,0.7705616134343167,0.770466359751548,0.04883764180859885,0.98,no_aigc
2,0.3292,2.004762291717529,0.5886287842373533,0.7705616134343167,0.770466359751548,0.04883764180859885,0.98,no_aigc
3,0.365,1.7387626689910889,0.4546954389290797,0.7705616134343167,0.770466359751548,0.04883764180859885,0.98,no_aigc
4,0.4165,1.5166046646118163,0.3830087506494821,0.7705616134343167,0.770466359751548,0.04883764180859885,0.98,no_aigc
5,0.4568,1.3456063011169435,0.3441640189528757,0.7705616134343167,0.770466359751548,0.04883764180859885,0.98,no_aigc
6,0.4989,1.2334296558380127,0.3189444451693225,0.7705616134343167,0.770466359751548,0.04883764180859885,0.98,no_aigc
7,0.5341,1.148322750377655,0.2934312073877628,0.7705616134343167,0.770466359751548,0.04883764180859885,0.98,no_aigc
8,0.5572,1.0884409364700318,0.2754328132247261,0.7705616134343167,0.770466359751548,0.04883764180859885,0.98,no_aigc
9,0.6033,1.007177352142334,0.2645499061712013,0.7705616134343167,0.770466359751548,0.04883764180859885,0.98,no_aigc
10,0.6325,0.9613086980819702,0.25166901042088125,0.7705616134343167,0.770466359751548,0.04883764180859885,0.98,no_aigc
11,0.6389,0.9351049230575561,0.2427234596354143,0.7705616134343167,0.770466359751548,0.04883764180859885,0.98,no_aigc
12,0.6697,0.8898863001823425,0.23512408883289346,0.7705616134343167,0.770466359751548,0.04883764180859885,0.98,no_aigc
13,0.6761,0.8692178888320923,0.23203713595186484,0.7705616134343167,0.770466359751548,0.04883764180859885,0.98,no_aigc
14,0.6776,0.8559708329200745,0.21941670021026863,0.7705616134343167,0.770466359751548,0.04883764180859885,0.98,no_aigc
15,0.6898,0.8282277344703675,0.21875938275254345,0.7705616134343167,0.770466359751548,0.04883764180859885,0.98,no_aigc
16,0.6971,0.807070023727417,0.2112009313325532,0.7705616134343167,0.770466359751548,0.04883764180859885,0.98,no_aigc
17,0.7048,0.7975726850509643,0.21024818776377602,0.7705616134343167,0.770466359751548,0.04883764180859885,0.98,no_aigc
18,0.713,0.7789672832012177,0.20220427251613873,0.7705616134343167,0.770466359751548,0.04883764180859885,0.98,no_aigc
19,0.7173,0.7680523676395417,0.1989303126383064,0.7705616134343167,0.770466359751548,0.04883764180859885,0.98,no_aigc
