round,test_accuracy,test_loss,train_loss,avg_lambda_before,avg_lambda_after,budget_used,participation_rate,method
1,0.5919,1.751527925491333,1.6656823511912016,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
2,0.701,0.999152761554718,1.029179208415821,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
3,0.7123,0.8105379999160767,0.7141527051612232,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
4,0.7418,0.7197156705379486,0.6229562568003558,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
5,0.756,0.6794351630687714,0.5794808527875926,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
6,0.7647,0.6477050227165222,0.5497472175086274,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
7,0.7754,0.6195953029632568,0.5256538310106054,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
8,0.7786,0.6028657670974732,0.5051421347341625,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
9,0.7859,0.5834610262393951,0.4907010331539538,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
10,0.7922,0.5702275270462036,0.47349129467089435,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
11,0.7945,0.558395382976532,0.46553503851210504,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
12,0.7991,0.5469494553565979,0.4520813991319697,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
13,0.8033,0.5340463308811187,0.4449142229889084,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
14,0.8048,0.5275126264572143,0.43490944080772015,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
15,0.8135,0.5164188333034515,0.4288459134484531,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
16,0.814,0.5098388342380523,0.41799324288271855,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
17,0.8143,0.5014708672523499,0.4121226551063296,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
18,0.8172,0.4945440807819366,0.4069349960109146,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
19,0.8217,0.49111627559661863,0.4006716401673065,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
20,0.8249,0.48347862091064453,0.3962178401466447,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
21,0.8253,0.4826395589828491,0.39218390019391713,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
22,0.8276,0.4740941333770752,0.3860574219293855,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
23,0.8321,0.46334232368469236,0.3796069848271809,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
24,0.8356,0.45825523109436034,0.37611570259513216,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
25,0.837,0.45700903425216677,0.37221521181824296,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
26,0.8381,0.45072924108505247,0.36715718826182914,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
27,0.8416,0.4457998326778412,0.36369593224282243,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
28,0.8408,0.4423022879600525,0.36106840109570865,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
29,0.8405,0.43846154346466065,0.3561367436950314,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
30,0.8418,0.43690346660614016,0.35364232250309624,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
31,0.8452,0.42980965247154235,0.349532451971149,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
32,0.847,0.4262545913219452,0.346899147869954,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
33,0.8481,0.42264952507019043,0.3432490504345349,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
34,0.8495,0.4206717505455017,0.3408846645486722,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
35,0.8496,0.4187171552658081,0.33800276420822833,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
36,0.8528,0.4134150626659393,0.33491294825457696,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
37,0.8508,0.41259883260726926,0.3315063813564925,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
38,0.8508,0.412464533996582,0.3307405015196131,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
39,0.8543,0.40369476890563966,0.32715709224726247,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
40,0.8543,0.40248587884902953,0.324011226674554,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
41,0.8497,0.40567504572868346,0.32258076083617643,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
42,0.8557,0.3984366695404053,0.319690707883225,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
43,0.8577,0.3950359504699707,0.31876543166829246,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
44,0.8587,0.39206294870376585,0.316460917123777,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
45,0.8589,0.3904731019973755,0.3141642438578364,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
46,0.8604,0.39282039380073547,0.31210778873068556,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
47,0.8592,0.3874400480270386,0.31023359653922544,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
48,0.8601,0.38455782155990603,0.30726109615473557,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
49,0.8621,0.3827033278465271,0.3058044589042051,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
50,0.8624,0.38115764646530154,0.3050311286204809,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
51,0.8615,0.380725856924057,0.30179549112639725,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
52,0.865,0.3772176113128662,0.30037204356631714,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
53,0.8634,0.3751570227146149,0.2993012600737066,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
54,0.8643,0.3767950003385544,0.2964830585365192,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
55,0.8643,0.37283219933509826,0.2952054151115339,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
56,0.8678,0.3703039062023163,0.29473865872410115,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
57,0.8678,0.37001509552001954,0.2932791286881719,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
58,0.8639,0.374144217300415,0.2911208997754039,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
59,0.8692,0.36552490038871766,0.28938867863657536,0.7705616134343167,0.4719860571629806,1.9852887096364296,0.76,binary_aigc
