round,test_accuracy,test_loss,train_loss,avg_lambda_before,avg_lambda_after,budget_used,participation_rate,method
1,0.7552,0.7641570976257325,1.2750235068042364,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
2,0.7903,0.5828464415550232,0.6206102583486711,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
3,0.8091,0.5249779330730439,0.531756192014142,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
4,0.8157,0.5005922025203705,0.48360601061915276,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
5,0.836,0.4567742992401123,0.4504749089236429,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
6,0.8379,0.4419324309825897,0.425245424922674,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
7,0.8496,0.415792941904068,0.40492868634729634,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
8,0.8541,0.4014939646244049,0.38919329348467563,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
9,0.8577,0.3963746111869812,0.3758398655980643,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
10,0.8604,0.38243840680122376,0.36208078577073705,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
11,0.8661,0.37334595091342926,0.3533728173707335,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
12,0.8668,0.36516106164455414,0.3435036640429231,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
13,0.8702,0.35834977686405184,0.33587242168135495,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
14,0.8715,0.35547276334762573,0.3283536845426287,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
15,0.8727,0.3526250564575195,0.32147176627082125,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
16,0.8735,0.34536096060276034,0.31549895623437857,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
17,0.8773,0.34068088092803955,0.3099694891878305,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
18,0.8804,0.3324756464004517,0.3039789684559457,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
19,0.8767,0.3383436210155487,0.29869562968386687,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
20,0.8842,0.32413851718902587,0.2937954654651589,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
21,0.8836,0.3210179731607437,0.2899134114528399,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
22,0.8839,0.3178133440256119,0.28501346262982,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
23,0.8857,0.31701080951690674,0.2808292769053953,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
24,0.8878,0.31735746040344237,0.2768568188508154,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
25,0.8892,0.31156088950634003,0.27229117780283324,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
26,0.8921,0.30465752379894256,0.2686889604669272,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
27,0.8902,0.3004496044397354,0.26552561565905464,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
28,0.8955,0.29820403473377227,0.2618271092951354,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
29,0.894,0.2983854702234268,0.2585987579145665,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
30,0.8929,0.293564124917984,0.25614729793312535,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
31,0.8963,0.2906858375787735,0.25253172928333933,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
32,0.8969,0.2875504060745239,0.25012242229638526,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
33,0.895,0.28862020494937896,0.2468558378628915,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
34,0.894,0.28730066096782686,0.24400714879017513,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
35,0.893,0.289131088924408,0.2415484620829367,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
36,0.898,0.28143416707515717,0.23850959222436513,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
37,0.8999,0.2817241649389267,0.23601560077080552,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
38,0.9003,0.2753355177164078,0.23365265329020296,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
39,0.9018,0.2747769299507141,0.23069870023331823,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
40,0.9016,0.27428501360416413,0.22857398913486185,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
41,0.9002,0.2738963238239288,0.22603190518862107,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
42,0.901,0.27509738392829897,0.22378153556411434,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
43,0.9048,0.26986901271343233,0.22128193204116023,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
44,0.9048,0.26634155230522155,0.21914195291817046,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
45,0.9038,0.2646276331424713,0.21727222074462552,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
46,0.9028,0.26589916069507596,0.215616634643567,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
47,0.9058,0.2645914113998413,0.21345565843018868,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
48,0.9035,0.2653646239280701,0.21143974565395685,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
49,0.9059,0.2607105460882187,0.20929302883031697,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
50,0.9046,0.2625849211215973,0.20664195956198178,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
51,0.9054,0.26055462307929994,0.20505200536306034,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
52,0.9073,0.25542916078567507,0.20395633062134486,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
53,0.9085,0.25511244421005247,0.2010301035931771,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
54,0.9085,0.2550709681034088,0.19941433209005985,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
55,0.9073,0.2554790568351746,0.19752688399153095,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
56,0.9077,0.2540234018802643,0.1958070214963672,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
57,0.9106,0.25292908840179446,0.1940126799966655,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
58,0.9102,0.25091410913467405,0.1929083129270227,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
59,0.9097,0.2531386843681335,0.1907105820137966,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
60,0.9072,0.25428127250671384,0.18899116941800112,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
61,0.911,0.2489373275756836,0.18716462441025772,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
62,0.9095,0.25025857696533205,0.185653519386778,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
63,0.9108,0.25032155451774596,0.18387123308013031,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
64,0.9106,0.24687485780715943,0.18245953653028132,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
65,0.9109,0.24644949641227723,0.17995136443545065,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
66,0.9121,0.2482483588695526,0.17809299901317868,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
67,0.912,0.24452121419906617,0.1782731579091239,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
68,0.913,0.24624465718269348,0.17539252859669602,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
69,0.9123,0.24434554085731505,0.17418038810244302,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
70,0.9114,0.2470946967124939,0.17299426277660065,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
71,0.9127,0.2442912013053894,0.1712726621701181,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
72,0.9115,0.24642752995491027,0.16968106451353293,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
73,0.9116,0.24654598131179808,0.16874899388190287,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
74,0.914,0.23999025592803955,0.16645824960796785,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
75,0.9126,0.24259516887664795,0.1652149151667301,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
76,0.9152,0.23920561814308167,0.16375600337219848,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
77,0.9156,0.24110296187400818,0.1626786444514341,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
78,0.9128,0.2415738567352295,0.16145894180082845,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
79,0.9145,0.24180009450912476,0.15977467198181364,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
80,0.9122,0.24743120875358582,0.15784590439216328,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
81,0.9147,0.2386823007106781,0.1565448084688999,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
82,0.9144,0.2408235412120819,0.15570319597346513,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
83,0.9155,0.23994088506698608,0.15404427052113423,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
84,0.9163,0.23648601365089417,0.15315438498327213,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
85,0.9159,0.2372129725456238,0.1511845902609482,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
86,0.9155,0.24049809679985046,0.15009603093870233,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
87,0.9162,0.23687453718185425,0.14882798359143123,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
88,0.9163,0.23812888174057006,0.14760498446128445,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
89,0.9164,0.23597304434776306,0.14575653640271355,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
90,0.9164,0.23745105500221253,0.14491066102945638,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
91,0.9156,0.23878116173744202,0.1434386899645828,0.7515887716396145,0.4891837100152743,1.7440249031321924,1.0,data_size_proportional
