round,test_accuracy,test_loss,train_loss,avg_lambda_before,avg_lambda_after,budget_used,participation_rate,method
1,0.7582,0.6979202175140381,1.1574750510380438,0.7705616134343167,0.5890766688424336,1.9859136469375365,1.0,fixed_price
2,0.8006,0.5475653379917145,0.5892614791714625,0.7705616134343167,0.5890766688424336,1.9859136469375365,1.0,fixed_price
3,0.8181,0.49283422803878785,0.5087481154852073,0.7705616134343167,0.5890766688424336,1.9859136469375365,1.0,fixed_price
4,0.8351,0.4594338418960571,0.4623600330084427,0.7705616134343167,0.5890766688424336,1.9859136469375365,1.0,fixed_price
5,0.8475,0.42466019220352175,0.4295936701572161,0.7705616134343167,0.5890766688424336,1.9859136469375365,1.0,fixed_price
6,0.8528,0.4094787712097168,0.40451220491197615,0.7705616134343167,0.5890766688424336,1.9859136469375365,1.0,fixed_price
7,0.856,0.39657626886367797,0.38481829981404964,0.7705616134343167,0.5890766688424336,1.9859136469375365,1.0,fixed_price
8,0.8602,0.38313354377746583,0.37007314821030707,0.7705616134343167,0.5890766688424336,1.9859136469375365,1.0,fixed_price
9,0.8624,0.37107482051849366,0.3565857471743455,0.7705616134343167,0.5890766688424336,1.9859136469375365,1.0,fixed_price
10,0.8689,0.3628356991767883,0.344751889498631,0.7705616134343167,0.5890766688424336,1.9859136469375365,1.0,fixed_price
11,0.8738,0.3514565956115723,0.33533182004712325,0.7705616134343167,0.5890766688424336,1.9859136469375365,1.0,fixed_price
12,0.8779,0.34383818962574003,0.32537781020155443,0.7705616134343167,0.5890766688424336,1.9859136469375365,1.0,fixed_price
13,0.8765,0.34020794501304624,0.3179381891833031,0.7705616134343167,0.5890766688424336,1.9859136469375365,1.0,fixed_price
14,0.8817,0.33048718798160553,0.31106838816236315,0.7705616134343167,0.5890766688424336,1.9859136469375365,1.0,fixed_price
15,0.883,0.324561719083786,0.30327940948796067,0.7705616134343167,0.5890766688424336,1.9859136469375365,1.0,fixed_price
16,0.8868,0.319743766951561,0.2973355136951428,0.7705616134343167,0.5890766688424336,1.9859136469375365,1.0,fixed_price
17,0.8854,0.3188484889030457,0.2913722901243317,0.7705616134343167,0.5890766688424336,1.9859136469375365,1.0,fixed_price
18,0.8868,0.31228985180854796,0.28571602390607104,0.7705616134343167,0.5890766688424336,1.9859136469375365,1.0,fixed_price
19,0.887,0.3102550501346588,0.2805697366607006,0.7705616134343167,0.5890766688424336,1.9859136469375365,1.0,fixed_price
20,0.8887,0.31128397369384764,0.27552804468512526,0.7705616134343167,0.5890766688424336,1.9859136469375365,1.0,fixed_price
