baseline,client_id,lambda_k,q,p,x,mode,cost,utility
NoAIGC,0,0.7505747126436783,0.0,0.319358334571115,1.0,zero,0.00034650379300965963,0.0
NoAIGC,1,0.8433198380566802,0.0,0.3159242303795382,1.0,zero,0.0004075422571896042,0.0
NoAIGC,2,0.5566826295167611,0.0,0.19686531275977623,1.0,zero,0.006682264932776004,-8.673617379884035e-19
NoAIGC,3,0.7763613338961588,0.0,0.32536020663598914,1.0,zero,0.005745861249191566,0.0
NoAIGC,4,0.7746543778801844,0.0,0.08198943975962776,1.0,zero,0.0001336427868081932,-2.710505431213761e-20
NoAIGC,5,0.6950917359259842,0.0,0.0,0.0,exit,0.0,0.0
NoAIGC,6,0.5848156182212582,0.0,0.18907882045757443,1.0,zero,0.0006031614372596625,0.0
NoAIGC,7,0.7648068669527897,0.0,0.3433169430959438,1.0,zero,0.001254251232110515,0.0
NoAIGC,8,0.4691318327974276,0.0,0.04055663584850715,1.0,zero,0.0022319668595295102,-4.336808689942018e-19
NoAIGC,9,0.7278794402583424,0.0,0.18570715295667875,1.0,zero,0.003129784551163225,0.0
NoAIGC,10,0.7198575244879787,0.0,0.1548205858524698,1.0,zero,0.0016235518769728997,-2.168404344971009e-19
NoAIGC,11,0.5942536415875986,0.0,0.23021487946771227,1.0,zero,0.011649640283997799,0.0
NoAIGC,12,0.6329685362517101,0.0,0.18512816343685032,1.0,zero,0.000827831437501782,-1.0842021724855044e-19
NoAIGC,13,0.7183037853378054,0.0,0.2983659020592957,1.0,zero,0.0058469771273553335,-8.673617379884035e-19
NoAIGC,14,0.5420654911838791,0.0,0.10898343962651566,1.0,zero,0.0003302198220683424,0.0
NoAIGC,15,0.62794017675051,0.0,0.08184566851285699,1.0,zero,0.0014931378125695538,0.0
NoAIGC,16,0.5412514484356895,0.0,0.1306001525827732,1.0,zero,0.006032203380877321,8.673617379884035e-19
NoAIGC,17,0.7072164948453609,0.0,0.05377199457005109,1.0,zero,0.0003563290840175385,0.0
NoAIGC,18,0.6931475029036005,0.0,0.2753336090753414,1.0,zero,0.0048495426345136795,0.0
NoAIGC,19,0.6364220493743659,0.0,0.18386647431713804,1.0,zero,0.0032945807756392526,-8.673617379884035e-19
RandomIncentive,0,0.7505747126436783,0.7285813907239908,34.51256550894322,1.0,internal,0.14682781002262366,0.06329277315498451
RandomIncentive,1,0.8433198380566802,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,2,0.5566826295167611,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,3,0.7763613338961588,0.2752402535181317,1.4102325440817451,1.0,internal,0.05555583657630563,0.022046179362132007
RandomIncentive,4,0.7746543778801844,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,5,0.6950917359259842,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,6,0.5848156182212582,0.3694072060809299,11.083438103899322,1.0,internal,0.06681405384511586,0.04087645864033894
RandomIncentive,7,0.7648068669527897,0.42415025341726076,2.860837525240909,1.0,internal,0.02930012749133039,0.01566478576640735
RandomIncentive,8,0.4691318327974276,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,9,0.7278794402583424,0.32275207884503915,1.3893716931907567,1.0,internal,0.051187850769568145,0.022637656441479567
RandomIncentive,10,0.7198575244879787,0.5957765266596646,2.948768526591673,1.0,internal,0.09668589729524958,0.03923485897557137
RandomIncentive,11,0.5942536415875986,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,12,0.6329685362517101,0.040394315183860365,3.763656145742881,1.0,internal,0.018682051706827022,0.016133863556330515
RandomIncentive,13,0.7183037853378054,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,14,0.5420654911838791,0.12317826934026194,10.633538171855397,1.0,internal,0.04088626847909161,0.03300407515251432
RandomIncentive,15,0.62794017675051,0.5166450728608197,2.243169729215046,1.0,internal,0.09774873066753795,0.06085442371819062
RandomIncentive,16,0.5412514484356895,0.48340310054414665,0.7080857447989006,1.0,internal,0.06716828360177593,0.038661372489172674
RandomIncentive,17,0.7072164948453609,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,18,0.6931475029036005,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,19,0.6364220493743659,0.4824637531507152,1.8237143908135882,1.0,internal,0.07604114897847825,0.03411039230711084
BinaryAIGC,0,0.7505747126436783,0.0,0.0,0.0,exit,0.0,0.0
BinaryAIGC,1,0.8433198380566802,0.0,0.0,0.0,exit,0.0,0.0
BinaryAIGC,2,0.5566826295167611,0.27834131475838053,1.8025329056348023,1.0,internal,0.09959895570085099,0.06015915257853477
BinaryAIGC,3,0.7763613338961588,0.3881806669480794,1.5192531701698808,1.0,internal,0.07340018482814084,0.02682717745842648
BinaryAIGC,4,0.7746543778801844,0.0,0.0,0.0,exit,0.0,0.0
BinaryAIGC,5,0.6950917359259842,0.3475458679629921,0.797990176725858,1.0,internal,0.05533662880505461,0.025421472415329938
BinaryAIGC,6,0.5848156182212582,0.0,0.0,0.0,exit,0.0,0.0
BinaryAIGC,7,0.7648068669527897,0.3824034334763948,2.66760423825953,1.0,internal,0.02559121665903643,0.01374838170228269
BinaryAIGC,8,0.4691318327974276,0.2345659163987138,0.5536360670071464,1.0,internal,0.04393102191701707,0.0321663361030772
BinaryAIGC,9,0.7278794402583424,0.3639397201291712,1.4194015051677211,1.0,internal,0.05591495662690709,0.02378232949236659
BinaryAIGC,10,0.7198575244879787,0.35992876224398934,2.5960460573870416,1.0,internal,0.062201263534993514,0.029226611464477005
BinaryAIGC,11,0.5942536415875986,0.2971268207937993,0.8291768061460209,1.0,internal,0.07268563882676018,0.031250811092415565
BinaryAIGC,12,0.6329685362517101,0.0,0.0,0.0,exit,0.0,0.0
BinaryAIGC,13,0.7183037853378054,0.3591518926689027,1.344109984057673,1.0,internal,0.05992266327259782,0.029501323999958022
BinaryAIGC,14,0.5420654911838791,0.0,0.0,0.0,exit,0.0,0.0
BinaryAIGC,15,0.62794017675051,0.313970088375255,1.5796279823487658,1.0,internal,0.05313605261290856,0.03523690269330083
BinaryAIGC,16,0.5412514484356895,0.27062572421784475,0.491247586535603,1.0,internal,0.036075175890230786,0.02041500501492001
BinaryAIGC,17,0.7072164948453609,0.0,0.0,0.0,exit,0.0,0.0
