round,test_accuracy,test_loss,train_loss,avg_lambda_before,avg_lambda_after,budget_used,participation_rate,method
1,0.415,2.157483815765381,2.104216654942619,0.4444665653844994,0.31412165012705534,1.4543033620320462,0.58,binary_aigc
2,0.6379,1.7701215049743653,1.818075360102455,0.4444665653844994,0.31412165012705534,1.4543033620320462,0.58,binary_aigc
3,0.683,1.2802711559295654,1.357881572499444,0.4444665653844994,0.31412165012705534,1.4543033620320462,0.58,binary_aigc
4,0.6925,1.0127515403747558,1.0160568448342218,0.4444665653844994,0.31412165012705534,1.4543033620320462,0.58,binary_aigc
5,0.7102,0.8837270371437073,0.8560279532194441,0.4444665653844994,0.31412165012705534,1.4543033620320462,0.58,binary_aigc
6,0.7233,0.8124294924736023,0.7792286031006715,0.4444665653844994,0.31412165012705534,1.4543033620320462,0.58,binary_aigc
7,0.7308,0.7687655162811279,0.7337465823198417,0.4444665653844994,0.31412165012705534,1.4543033620320462,0.58,binary_aigc
8,0.7331,0.7353219947814942,0.7022584262019411,0.4444665653844994,0.31412165012705534,1.4543033620320462,0.58,binary_aigc
9,0.7481,0.7111621412277221,0.6733354181420121,0.4444665653844994,0.31412165012705534,1.4543033620320462,0.58,binary_aigc
10,0.7496,0.6913923136234283,0.6532453656042243,0.4444665653844994,0.31412165012705534,1.4543033620320462,0.58,binary_aigc
11,0.7559,0.6734290581703186,0.632195896585111,0.4444665653844994,0.31412165012705534,1.4543033620320462,0.58,binary_aigc
12,0.758,0.6592766415596009,0.6171459814821388,0.4444665653844994,0.31412165012705534,1.4543033620320462,0.58,binary_aigc
13,0.7695,0.6462599573612213,0.6046505454375859,0.4444665653844994,0.31412165012705534,1.4543033620320462,0.58,binary_aigc
14,0.7712,0.6357913424015045,0.593403886688243,0.4444665653844994,0.31412165012705534,1.4543033620320462,0.58,binary_aigc
15,0.7751,0.6293757199287414,0.580393967574739,0.4444665653844994,0.31412165012705534,1.4543033620320462,0.58,binary_aigc
16,0.7753,0.6172683431625366,0.5724234326913974,0.4444665653844994,0.31412165012705534,1.4543033620320462,0.58,binary_aigc
17,0.7801,0.6046561260223389,0.5571020168525067,0.4444665653844994,0.31412165012705534,1.4543033620320462,0.58,binary_aigc
18,0.7858,0.596735140323639,0.5534363124042297,0.4444665653844994,0.31412165012705534,1.4543033620320462,0.58,binary_aigc
19,0.7858,0.5920838861465454,0.5452018713759837,0.4444665653844994,0.31412165012705534,1.4543033620320462,0.58,binary_aigc
20,0.789,0.5814270647525788,0.5391115591754296,0.4444665653844994,0.31412165012705534,1.4543033620320462,0.58,binary_aigc
21,0.7845,0.5783972452163696,0.530755250890849,0.4444665653844994,0.31412165012705534,1.4543033620320462,0.58,binary_aigc
22,0.7923,0.5674974689483643,0.5233124228256446,0.4444665653844994,0.31412165012705534,1.4543033620320462,0.58,binary_aigc
23,0.7946,0.5614347027301788,0.5166575840933018,0.4444665653844994,0.31412165012705534,1.4543033620320462,0.58,binary_aigc
24,0.7974,0.555574671125412,0.5107064140963842,0.4444665653844994,0.31412165012705534,1.4543033620320462,0.58,binary_aigc
25,0.7956,0.5519713620185852,0.5086766844524578,0.4444665653844994,0.31412165012705534,1.4543033620320462,0.58,binary_aigc
26,0.8001,0.5456845796585083,0.500722348879055,0.4444665653844994,0.31412165012705534,1.4543033620320462,0.58,binary_aigc
27,0.801,0.5392452315330505,0.4952574377324991,0.4444665653844994,0.31412165012705534,1.4543033620320462,0.58,binary_aigc
28,0.7966,0.5401709495544433,0.48997292665523356,0.4444665653844994,0.31412165012705534,1.4543033620320462,0.58,binary_aigc
29,0.808,0.5301416999340057,0.48917373085696264,0.4444665653844994,0.31412165012705534,1.4543033620320462,0.58,binary_aigc
30,0.8066,0.5258817879676819,0.4835943449270253,0.4444665653844994,0.31412165012705534,1.4543033620320462,0.58,binary_aigc
31,0.81,0.5206136112689972,0.47815662287933086,0.4444665653844994,0.31412165012705534,1.4543033620320462,0.58,binary_aigc
32,0.8103,0.5166609375953675,0.4736479227311035,0.4444665653844994,0.31412165012705534,1.4543033620320462,0.58,binary_aigc
33,0.8132,0.5121888295650482,0.46925163884970644,0.4444665653844994,0.31412165012705534,1.4543033620320462,0.58,binary_aigc
34,0.8131,0.5104502011775971,0.4656341868585368,0.4444665653844994,0.31412165012705534,1.4543033620320462,0.58,binary_aigc
