round,test_accuracy,test_loss,train_loss,avg_lambda_before,avg_lambda_after,budget_used,participation_rate,method
1,0.1887,2.261763671875,1.9850871111166017,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
2,0.2609,2.19662646484375,1.7991820918951278,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
3,0.3596,2.0966611328125,1.6229480772617535,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
4,0.3709,1.956629296875,1.4526846316376558,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
5,0.4274,1.78523798828125,1.2847112449862166,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
6,0.4877,1.60568623046875,1.125238936242572,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
7,0.5453,1.44646962890625,0.9901014598607618,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
8,0.5565,1.320576806640625,0.8876467571392715,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
9,0.5852,1.2230431396484376,0.8142606494154588,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
10,0.6104,1.142975732421875,0.7551902798671697,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
11,0.6727,1.0727680114746094,0.7205973434426914,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
12,0.6794,1.0193707641601562,0.6816617154206136,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
13,0.6708,0.9836965301513672,0.6599729572660887,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
14,0.6928,0.9533709991455078,0.6371029078474639,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
15,0.6975,0.9295526336669921,0.6246867995914401,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
16,0.7128,0.8935479522705078,0.6112262512490756,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
17,0.7142,0.8718682418823243,0.5989397011543326,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
18,0.7039,0.8732693756103516,0.5855795272790486,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
19,0.7193,0.8467106788635254,0.5793902905101939,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
20,0.7226,0.8321808883666992,0.5673614655442957,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
21,0.7271,0.8155552650451661,0.5510248408747879,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
22,0.7264,0.8124358512878418,0.5555895425057696,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
23,0.7277,0.7966257934570312,0.543198855205043,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
24,0.729,0.7878923965454101,0.5346880601639832,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
25,0.7379,0.7705789947509766,0.529365468765975,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
26,0.7334,0.7801011817932129,0.5192088148483085,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
27,0.737,0.762753776550293,0.5173255828455561,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
28,0.7388,0.7569281074523926,0.5144348785083774,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
29,0.7435,0.7443460556030274,0.5088667468395296,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
30,0.7429,0.7361573516845703,0.5070469580072721,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
31,0.7454,0.7332291770935059,0.49359151577759136,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
32,0.7471,0.7299150001525879,0.4955000137488224,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
33,0.7479,0.7217942901611328,0.486608951391813,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
34,0.7481,0.7172578147888183,0.4832094615440609,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
35,0.7513,0.7132137435913086,0.48078101308038235,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
36,0.7536,0.7064412147521972,0.4731060947985504,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
37,0.7541,0.7022589389801025,0.4701692903113857,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
38,0.7544,0.6971383277893066,0.47549824355554016,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
39,0.7572,0.6889963073730468,0.4702119241002147,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
40,0.7585,0.6862686943054199,0.46088160940101514,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
41,0.7582,0.6891161159515381,0.4612250717451417,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
42,0.7602,0.6774953941345215,0.4572113718083293,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
43,0.7598,0.6773751976013184,0.4536687501235974,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
44,0.7621,0.6695296997070312,0.4551904305326752,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
45,0.7642,0.667790098953247,0.44976360975972446,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
46,0.7602,0.6685611122131347,0.4445902871033665,0.5263385207331062,0.5263385207331062,0.06145266631620748,1.0,no_aigc
