round,test_accuracy,test_loss,train_loss,avg_lambda_before,avg_lambda_after,budget_used,participation_rate,method
1,0.2614,2.2440255859375,2.1695731019101627,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
2,0.3968,2.14656337890625,2.061692976255288,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
3,0.5837,1.98173740234375,1.9009645207673862,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
4,0.6431,1.73355439453125,1.6715981680285952,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
5,0.6768,1.46114326171875,1.4021269658720916,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
6,0.6831,1.24434501953125,1.1679542396240659,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
7,0.6922,1.095403369140625,1.0041967073141078,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
8,0.6931,0.9951087890625,0.8996444619584582,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
9,0.7005,0.9260108276367187,0.8310939089829749,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
10,0.7101,0.8752475204467773,0.7827205578204655,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
11,0.7181,0.8367639274597168,0.751667342654704,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
12,0.7233,0.8086958015441894,0.7257411916033216,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
13,0.7293,0.7845028907775878,0.7027931738698254,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
14,0.7282,0.7653328857421875,0.6887613236533473,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
15,0.7376,0.7506530059814454,0.6720972327556018,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
16,0.7421,0.7333422599792481,0.6607130838049039,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
17,0.739,0.7220866622924804,0.6528645085774172,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
18,0.7436,0.7107606925964356,0.6405360986940297,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
19,0.7477,0.6995727554321289,0.6316970708185772,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
20,0.7536,0.6904598670959473,0.6134925127585598,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
21,0.7529,0.6828374240875245,0.6094201549285526,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
22,0.758,0.6753651748657227,0.6113430796700253,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
23,0.7614,0.6691038410186767,0.5944532590969902,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
24,0.7639,0.6603836246490479,0.585518827502765,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
25,0.764,0.6518162631988526,0.5830944204909149,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
26,0.7693,0.6468795303344727,0.5765766946861068,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
27,0.7709,0.6424109172821045,0.5682733658269004,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
28,0.7694,0.6354511390686035,0.5619085842311989,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
29,0.773,0.6335371604919433,0.5626042205802624,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
30,0.7735,0.6257081600189209,0.5555282831056054,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
31,0.7791,0.6201499526977539,0.5495957417669489,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
32,0.7823,0.6170922817230224,0.5542630727875879,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
33,0.7825,0.6119873638153076,0.542300232050896,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
34,0.7833,0.6059686603546143,0.5330495533069763,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
35,0.7832,0.600817416381836,0.5329637056628174,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
36,0.7814,0.5977898139953614,0.521304036286833,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
37,0.7881,0.5930030433654785,0.5282771236449938,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
38,0.785,0.5897650365829468,0.5177691873298075,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
39,0.7897,0.5861896757125854,0.5128797220405629,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
40,0.7896,0.5827688514709473,0.5088171788483237,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
41,0.7909,0.5782535997390748,0.511628969435214,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
42,0.7939,0.5741598045349121,0.5101022801883562,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
43,0.7932,0.5714727098464966,0.5075484520874483,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
44,0.7941,0.5737212261199951,0.502249503960176,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
45,0.7953,0.5650615217208862,0.5033413383766739,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
46,0.7965,0.5615979660034179,0.48790945333763264,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
47,0.7967,0.5603597065925598,0.4951492715724528,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
48,0.7982,0.5563325142860412,0.4907697695847216,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
49,0.8016,0.5533766043663025,0.48976288333379403,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
50,0.8001,0.5518218664169312,0.49071562325530876,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
51,0.8012,0.548734437084198,0.48062354075305874,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
52,0.8011,0.5465864019393921,0.4839742417429161,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
53,0.8031,0.5437635931968688,0.4810910441992318,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
54,0.8051,0.5404548351287842,0.4736174710289918,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
55,0.8043,0.5387048588752746,0.4715014185075667,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
56,0.8064,0.5347923913955689,0.47214421606379964,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
57,0.805,0.5329977557182312,0.46488739742439056,0.4444665653844994,0.3755426529731127,0.8422272377757306,1.0,data_size_proportional
