round,test_accuracy,test_loss,train_loss,avg_lambda_before,avg_lambda_after,budget_used,participation_rate,method
1,0.3017,2.235030859375,2.176389418265302,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
2,0.4329,2.1163935546875,2.0585510359272745,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
3,0.5883,1.90539736328125,1.8669982621938583,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
4,0.6662,1.60336953125,1.5869445490732061,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
5,0.6808,1.3193725341796876,1.2872348972520657,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
6,0.6864,1.127049853515625,1.064288510905624,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
7,0.6996,1.0036676971435547,0.9263992626870602,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
8,0.7092,0.9239441909790039,0.8392029267567708,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
9,0.7156,0.8670764587402344,0.7878603400212849,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
10,0.7169,0.8272731369018554,0.751116370780178,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
11,0.7256,0.8009258262634278,0.7253156926542118,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
12,0.7267,0.7706084342956543,0.7013761344383734,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
13,0.7332,0.7520847862243653,0.6846483212268816,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
14,0.7338,0.7363587478637695,0.6681562479070909,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
15,0.7448,0.7193935401916504,0.658999018126892,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
16,0.747,0.7144455532073974,0.6414457880697052,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
17,0.7513,0.6942019439697266,0.6304845573632568,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
18,0.7573,0.683671329498291,0.6246343185519836,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
19,0.7486,0.6771891826629639,0.6131491817266111,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
20,0.7584,0.6666701988220215,0.6019933039388669,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
21,0.7603,0.6593232971191406,0.5933532918010981,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
22,0.7614,0.6505836166381836,0.5873147868853188,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
23,0.7677,0.6425177242279053,0.5840012534470389,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
24,0.7709,0.6358803604125977,0.5775742022980987,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
25,0.7593,0.6348798854827881,0.5743032051904171,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
26,0.7708,0.6276721050262452,0.5650503294415277,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
27,0.7766,0.619183710861206,0.5602759975867335,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
28,0.7789,0.6115738071441651,0.5533062737140301,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
29,0.7818,0.6061782382965087,0.5440919958919567,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
30,0.7767,0.6041352466583252,0.5402962787670335,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
31,0.7864,0.5964338592529297,0.5418824128647357,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
32,0.7876,0.5921009834289551,0.5315288501395451,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
33,0.7886,0.5879265003204346,0.5242908178703585,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
34,0.7897,0.5830467721939087,0.5261441728351799,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
35,0.7922,0.5781723649978637,0.5255589584672504,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
36,0.7898,0.5762675170898437,0.5231053085766266,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
37,0.7949,0.5701829645156861,0.5189049312382658,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
38,0.7936,0.5722732973098755,0.5122603099346879,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
39,0.7956,0.5635486413955688,0.5048815394369999,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
40,0.7968,0.561502272605896,0.5024030085509069,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
41,0.7997,0.5567438539505005,0.49682009768071966,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
42,0.7975,0.5532961819648743,0.4998175160279553,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
43,0.8014,0.5518259866714478,0.4944730697489443,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
44,0.8015,0.5482385948181152,0.4968593435616326,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
45,0.8035,0.5441579751968384,0.48777100420316866,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
46,0.8041,0.5409274778366089,0.4822363147740304,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
47,0.8043,0.5405723664283753,0.4863611695201198,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
48,0.804,0.5366959086418152,0.48168413565365015,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
49,0.8064,0.5344778638839721,0.480256372155448,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
50,0.8077,0.5328767762184143,0.4762898283331178,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
51,0.8069,0.528844870853424,0.4802981703561875,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
52,0.8076,0.5255405202865601,0.47125858896707984,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
53,0.8086,0.5242783961296081,0.4697130920774338,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
54,0.8084,0.521872999382019,0.4659516575267622,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
55,0.8106,0.5194724203109741,0.46393672651596457,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
56,0.8126,0.5150008163452149,0.4641183931599498,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
57,0.8131,0.5138522176742554,0.4565164564586214,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
58,0.8121,0.5137373741149902,0.4592515650720732,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
59,0.8142,0.5101426664352418,0.4554842004029731,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
60,0.8137,0.5093961480140686,0.45239588230922084,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
61,0.8185,0.5046661491394043,0.44800743122541875,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
62,0.8168,0.5024405021190643,0.4467472155370056,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
63,0.8176,0.5020954252243042,0.4449544019832566,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
64,0.8173,0.5002456554412842,0.4438193603220734,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
65,0.8211,0.4974685773849487,0.44208205686285357,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
66,0.8209,0.49356597981452943,0.4399869053611669,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
67,0.8205,0.49332678375244143,0.43962929506835097,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
68,0.8223,0.49157495651245114,0.4366785296526085,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
69,0.8216,0.4911241048812866,0.44109636361831206,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
70,0.8219,0.4884309178829193,0.43663068321632476,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
71,0.8241,0.4853457035064697,0.43440674652822125,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
72,0.8244,0.4831621153354645,0.43229731313810754,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
73,0.8223,0.48397085132598877,0.431378903941056,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
74,0.8251,0.48017504930496213,0.425592849138576,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
75,0.8263,0.47897608294487,0.42562126206180645,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
76,0.8276,0.4808135733127594,0.42584390716372,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
77,0.8283,0.4779925835132599,0.42011032687909783,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
78,0.8291,0.4744015455245972,0.4195462905572838,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
79,0.8293,0.4719954968452454,0.4165276583259637,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
80,0.83,0.4699791530609131,0.4143305742217122,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
81,0.8293,0.47360165977478025,0.4139832727671509,0.4444665653844994,0.37317338888253604,1.4570546620680187,1.0,fixed_price
