round,test_accuracy,test_loss,train_loss,avg_lambda_before,avg_lambda_after,budget_used,participation_rate,method
1,0.2336,2.2541326171875,2.1500120900741404,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
2,0.361,2.17600537109375,2.0458193366394717,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
3,0.493,2.052110546875,1.9072376613848634,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
4,0.6184,1.86548447265625,1.7247470518078694,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
5,0.6435,1.63564501953125,1.505796805771605,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
6,0.6746,1.4120479736328124,1.2849484993361135,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
7,0.6837,1.23829716796875,1.1047055059284208,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
8,0.6894,1.1124387817382813,0.9761942939430612,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
9,0.6947,1.0247191284179689,0.8891757622475152,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
10,0.7034,0.957612759399414,0.8297242990970585,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
11,0.7086,0.9093448318481445,0.790980006429169,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
12,0.7137,0.8711977462768554,0.7531275570484336,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
13,0.7216,0.8428778938293457,0.7261745610893499,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
14,0.7228,0.8154322311401367,0.7043935472462257,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
15,0.7269,0.7947140220642089,0.6929737800838466,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
16,0.7284,0.7779587211608887,0.6807110298530269,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
17,0.7298,0.7666341148376464,0.6639114335883403,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
18,0.7362,0.7505473701477051,0.651723638922536,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
19,0.7337,0.7375338806152344,0.6388210474606149,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
20,0.7471,0.7279640823364257,0.6320062194099944,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
21,0.7449,0.7167379852294922,0.6257861592071214,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
22,0.7417,0.7096956115722656,0.6132795522510284,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
23,0.751,0.7023083358764648,0.6051578076660745,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
24,0.7487,0.6936543899536133,0.5945324490473841,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
25,0.7491,0.6871293296813965,0.5872216199621991,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
26,0.7564,0.6798749862670899,0.5889392968216765,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
27,0.7592,0.6728394184112548,0.5787891185042956,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
28,0.7599,0.6657851181030273,0.5736541100197453,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
29,0.7609,0.660051139831543,0.569961950947782,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
30,0.7655,0.6574789764404297,0.5754514250970117,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
31,0.7674,0.6510407711029053,0.5619779491722963,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
32,0.7683,0.6453183887481689,0.5570317365340672,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
33,0.7687,0.6398900676727295,0.5502682375921876,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
34,0.7706,0.6367246589660644,0.5461379371748774,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
35,0.7699,0.6348774391174317,0.5466513172050723,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
36,0.7711,0.6274856281280518,0.5348849472134392,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
37,0.7713,0.6234942317962646,0.5270593014425302,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
38,0.778,0.6196086124420166,0.5352229587965123,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
39,0.7769,0.6150785396575927,0.5276943851929653,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
40,0.7804,0.6129506114959716,0.5230453033383763,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
41,0.7775,0.6076868843078613,0.5218763598171298,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
42,0.7787,0.605589429473877,0.5175284503725093,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
43,0.7775,0.6040980567932129,0.5119038891862773,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
44,0.7815,0.5982485660552979,0.5084728337303254,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
45,0.7827,0.5949005710601807,0.5057646629014682,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
46,0.7841,0.5921018100738525,0.49903436199351325,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
47,0.7844,0.5878815603256226,0.49679753462378956,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
48,0.7867,0.5845914768218994,0.49944749829826396,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
49,0.7897,0.5825844835281372,0.4979432663649358,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
50,0.7898,0.5817634992599487,0.4943478364480365,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
51,0.7909,0.5797820251464844,0.4927358936110786,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
52,0.7913,0.5746021657943725,0.48820525737320264,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
53,0.7917,0.5719387779235839,0.482985425891646,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
54,0.7925,0.5688002645492554,0.4831886029279578,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
55,0.7932,0.5674011125564575,0.48167131288119786,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
56,0.7924,0.5645170586585998,0.4801537054289375,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
57,0.7959,0.5615241492271423,0.4795875329761843,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
58,0.7951,0.5614885134696961,0.47554107125408424,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
59,0.7975,0.5583669375419616,0.46751727411072047,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
60,0.7955,0.5570996106147766,0.4681867571194652,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
61,0.7972,0.5537643085479736,0.4704626528985329,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
62,0.7979,0.5506823220252991,0.4686544099437247,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
63,0.7992,0.5495329280853272,0.4628832441564954,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
64,0.8006,0.5463589941978455,0.4584829832617827,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
65,0.8012,0.5436413865089417,0.4590010344139589,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
66,0.8031,0.5424069030761719,0.4574739886198348,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
67,0.8019,0.5397610288619995,0.4592426358342509,0.4444665653844994,0.36605234345107207,0.8910756117238355,1.0,quality_gap_proportional
