baseline,client_id,lambda_k,q,p,x,mode,cost,utility
NoAIGC,0,0.42148337595907936,0.0,0.13769015627181413,1.0,zero,0.005190918891447392,0.0
NoAIGC,1,0.5028465632955335,0.0,0.0995649550484944,1.0,zero,0.003564757273919595,-4.336808689942018e-19
NoAIGC,2,0.46661338205069647,0.0,0.16362205172593866,1.0,zero,0.006369533770271249,8.673617379884035e-19
NoAIGC,3,0.32007452258966,0.0,0.10701632021861959,1.0,zero,0.002603707070919015,0.0
NoAIGC,4,0.4768595041322315,0.0,0.03531739839646926,1.0,zero,0.00037259855308275063,5.421010862427522e-20
NoAIGC,5,0.40199370409234003,0.0,0.1635534814877778,1.0,zero,0.009320912909988455,0.0
NoAIGC,6,0.44250117536436295,0.0,0.14081208732671047,1.0,zero,0.0027829162192002216,0.0
NoAIGC,7,0.4581842279655401,0.0,0.1490281229203316,1.0,zero,0.002030756554994385,0.0
NoAIGC,8,0.4538883806038426,0.0,0.03942459046120531,1.0,zero,0.001961044837191121,0.0
NoAIGC,9,0.5184599694033656,0.0,0.10494399468303363,1.0,zero,0.0016516435696531445,0.0
NoAIGC,10,0.2838983050847458,0.0,0.06056656825266288,1.0,zero,0.00409430001388001,0.0
NoAIGC,11,0.5437751004016065,0.0,0.2047429876769117,1.0,zero,0.0038764672333495283,-4.336808689942018e-19
NoAIGC,12,0.552475581003705,0.0,0.1518305100750767,1.0,zero,0.003362286645612573,0.0
NoAIGC,13,0.45734216951517265,0.0,0.15488313348262778,1.0,zero,0.004016119651204538,0.0
NoAIGC,14,0.40640243902439027,0.0,0.08407594837895645,1.0,zero,0.0005456529049794272,1.0842021724855044e-19
NoAIGC,15,0.5102367688022283,0.0,0.062175931186498744,1.0,zero,0.0014576110801154858,0.0
NoAIGC,16,0.4919077404222049,0.0,0.11791683439777298,1.0,zero,0.005108550322226184,0.0
NoAIGC,17,0.44686192468619246,0.0,0.028462247948568924,1.0,zero,0.000313559098233401,0.0
NoAIGC,18,0.4107569721115538,0.0,0.14338193492435722,1.0,zero,0.002120618817531243,0.0
NoAIGC,19,0.575391032325339,0.0,0.1574384928492766,1.0,zero,0.0021369651429408473,0.0
RandomIncentive,0,0.42148337595907936,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,1,0.5028465632955335,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,2,0.46661338205069647,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,3,0.32007452258966,0.11347472999480464,2.7675069912752273,1.0,internal,0.07857091855023718,0.06522050058882749
RandomIncentive,4,0.4768595041322315,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,5,0.40199370409234003,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,6,0.44250117536436295,0.2795122390473378,2.174612862942401,1.0,internal,0.06452520465433298,0.04370048387907467
RandomIncentive,7,0.4581842279655401,0.25410200248028375,1.2807965691793075,1.0,internal,0.02563813018692493,0.01774341437695296
RandomIncentive,8,0.4538883806038426,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,9,0.5184599694033656,0.22989251195703597,2.5044968365919575,1.0,internal,0.05823452771682976,0.03895820796798417
RandomIncentive,10,0.2838983050847458,0.2349630869639958,0.9553246236898195,1.0,internal,0.08576953709816425,0.062031002696825266
RandomIncentive,11,0.5437751004016065,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,12,0.552475581003705,0.0352574756442165,0.9098725325409891,1.0,internal,0.021736543098085183,0.016887311058471955
RandomIncentive,13,0.45734216951517265,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,14,0.40640243902439027,0.09235037077411817,6.020948925135687,1.0,internal,0.04515529492188545,0.03915685756698719
RandomIncentive,15,0.5102367688022283,0.4198032270498169,1.9730629984677954,1.0,internal,0.08590304806749913,0.058943152639788936
RandomIncentive,16,0.4919077404222049,0.4393331927129482,0.7830803039261021,1.0,internal,0.06326021066877584,0.038719166227126504
RandomIncentive,17,0.44686192468619246,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,18,0.4107569721115538,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,19,0.575391032325339,0.4361968873609065,2.7528543176450486,1.0,internal,0.07575055056621863,0.039092345257507134
FixedPrice,0,0.42148337595907936,0.0,0.8995279052577687,1.0,zero,0.033912202028217875,0.028721283136770484
FixedPrice,1,0.5028465632955335,0.13464436515461287,0.8995279052577687,1.0,internal,0.04092849423008631,0.030181245156704804
FixedPrice,2,0.46661338205069647,0.0,0.8995279052577687,1.0,zero,0.03501712213850951,0.028647588368238257
FixedPrice,3,0.32007452258966,0.0,0.8995279052577687,1.0,zero,0.021885513934921514,0.0192818068640025
FixedPrice,4,0.4768595041322315,0.0,0.8995279052577687,1.0,zero,0.009490019400469459,0.009117420847386707
FixedPrice,5,0.40199370409234003,0.3530776330011869,0.8995279052577687,1.0,internal,0.08153167871838055,0.052219070102870795
FixedPrice,6,0.44250117536436295,0.0,0.8995279052577687,1.0,zero,0.01777766983424437,0.014994753615044149
FixedPrice,7,0.4581842279655401,0.12073576556411218,0.8995279052577687,1.0,internal,0.014988987458045135,0.01075085115350284
