round,test_accuracy,test_loss,train_loss,avg_lambda_before,avg_lambda_after,budget_used,participation_rate,method
1,0.2149,2.263069921875,2.1648328990289794,0.4444665653844994,0.3333114458035059,1.454782461698964,0.54,random_incentive
2,0.3113,2.2033349609375,2.0855841831524042,0.4444665653844994,0.3333114458035059,1.454782461698964,0.54,random_incentive
3,0.4243,2.1163248046875,1.990751127718414,0.4444665653844994,0.3333114458035059,1.454782461698964,0.54,random_incentive
4,0.5164,1.99032568359375,1.875876943022108,0.4444665653844994,0.3333114458035059,1.454782461698964,0.54,random_incentive
5,0.5947,1.82561962890625,1.7421357421109778,0.4444665653844994,0.3333114458035059,1.454782461698964,0.54,random_incentive
6,0.6158,1.64327294921875,1.5987138205462206,0.4444665653844994,0.3333114458035059,1.454782461698964,0.54,random_incentive
7,0.6723,1.46918681640625,1.465738184041364,0.4444665653844994,0.3333114458035059,1.454782461698964,0.54,random_incentive
8,0.6816,1.3268104248046875,1.3545090446412953,0.4444665653844994,0.3333114458035059,1.454782461698964,0.54,random_incentive
9,0.6864,1.2117810302734375,1.264767805451173,0.4444665653844994,0.3333114458035059,1.454782461698964,0.54,random_incentive
10,0.693,1.1227924560546876,1.1974248693385472,0.4444665653844994,0.3333114458035059,1.454782461698964,0.54,random_incentive
11,0.7062,1.0516432922363281,1.145571509249962,0.4444665653844994,0.3333114458035059,1.454782461698964,0.54,random_incentive
12,0.7072,0.997221923828125,1.1039351124331276,0.4444665653844994,0.3333114458035059,1.454782461698964,0.54,random_incentive
13,0.712,0.9518734527587891,1.0737100644381852,0.4444665653844994,0.3333114458035059,1.454782461698964,0.54,random_incentive
14,0.7072,0.9158243316650391,1.050433752618326,0.4444665653844994,0.3333114458035059,1.454782461698964,0.54,random_incentive
15,0.7192,0.8877896469116211,1.0314285678660442,0.4444665653844994,0.3333114458035059,1.454782461698964,0.54,random_incentive
16,0.719,0.8647066635131836,1.011881586064898,0.4444665653844994,0.3333114458035059,1.454782461698964,0.54,random_incentive
17,0.7255,0.8409459442138671,1.0043971344044091,0.4444665653844994,0.3333114458035059,1.454782461698964,0.54,random_incentive
18,0.7271,0.8271510177612305,0.9894327574276919,0.4444665653844994,0.3333114458035059,1.454782461698964,0.54,random_incentive
19,0.7314,0.8088319427490235,0.975116445234568,0.4444665653844994,0.3333114458035059,1.454782461698964,0.54,random_incentive
20,0.7323,0.7954085327148438,0.9681227958896855,0.4444665653844994,0.3333114458035059,1.454782461698964,0.54,random_incentive
21,0.7312,0.7835516891479493,0.9604200647558478,0.4444665653844994,0.3333114458035059,1.454782461698964,0.54,random_incentive
22,0.7324,0.7725139938354492,0.9484627860352363,0.4444665653844994,0.3333114458035059,1.454782461698964,0.54,random_incentive
23,0.7345,0.762995694732666,0.938758780756011,0.4444665653844994,0.3333114458035059,1.454782461698964,0.54,random_incentive
24,0.7369,0.7542778465270996,0.9368644777095102,0.4444665653844994,0.3333114458035059,1.454782461698964,0.54,random_incentive
25,0.7331,0.7463237266540528,0.9302770517138517,0.4444665653844994,0.3333114458035059,1.454782461698964,0.54,random_incentive
26,0.7448,0.7355891235351563,0.9157934042146434,0.4444665653844994,0.3333114458035059,1.454782461698964,0.54,random_incentive
27,0.7423,0.7284240051269532,0.9138188057711981,0.4444665653844994,0.3333114458035059,1.454782461698964,0.54,random_incentive
28,0.7429,0.7207292877197266,0.9072753876863628,0.4444665653844994,0.3333114458035059,1.454782461698964,0.54,random_incentive
29,0.7532,0.7143122314453125,0.8983320722324757,0.4444665653844994,0.3333114458035059,1.454782461698964,0.54,random_incentive
30,0.7498,0.7070859977722168,0.8918445019799227,0.4444665653844994,0.3333114458035059,1.454782461698964,0.54,random_incentive
31,0.7517,0.7006492790222167,0.8929200901269185,0.4444665653844994,0.3333114458035059,1.454782461698964,0.54,random_incentive
32,0.7532,0.6940507682800293,0.8792399362659223,0.4444665653844994,0.3333114458035059,1.454782461698964,0.54,random_incentive
33,0.7509,0.690184733581543,0.878183899033078,0.4444665653844994,0.3333114458035059,1.454782461698964,0.54,random_incentive
34,0.7525,0.6862086357116699,0.8700423773088718,0.4444665653844994,0.3333114458035059,1.454782461698964,0.54,random_incentive
35,0.7517,0.6840282066345215,0.8679022816089195,0.4444665653844994,0.3333114458035059,1.454782461698964,0.54,random_incentive
36,0.753,0.6757452415466308,0.8683175904187328,0.4444665653844994,0.3333114458035059,1.454782461698964,0.54,random_incentive
